name	county	type	wikipedia_link
Abbot Hall Art Gallery	in_Cumbria	Arts	/wiki/Abbot_Hall_Art_Gallery
Armitt Library	in_Cumbria	Multiple	/wiki/Armitt_Library
The Beacon, Whitehaven	in_Cumbria	Multiple	/w/index.php?title=The_Beacon,_Whitehaven&action=edit&redlink=1
Beatrix Potter Gallery	in_Cumbria	Arts	/wiki/Beatrix_Potter_Gallery
Birdoswald Roman Fort	in_Cumbria	Historic	/wiki/Birdoswald_Roman_Fort
Blackwell	in_Cumbria	Historic	/wiki/Blackwell_(historic_house)
Brantwood	in_Cumbria	Historic	/wiki/Brantwood
Brougham Hall	in_Cumbria	Historic	/wiki/Brougham_Hall
Carlisle Castle	in_Cumbria	Other	/wiki/Carlisle_Castle
Cumberland Pencil Museum	in_Cumbria	Industrial	/wiki/Cumberland_Pencil_Museum
Dalemain Estate	in_Cumbria	Historic	/wiki/Dalemain
Dalton Castle	in_Cumbria	Local	/wiki/Dalton_Castle
Derwent Island House	in_Cumbria	Historic	/wiki/Derwent_Island_House
Dock Museum	in_Cumbria	Local	/wiki/Dock_Museum
Dove Cottage	in_Cumbria	Historic	/wiki/Dove_Cottage
Guildhall Museum, Carlisle	in_Cumbria	Historic	/w/index.php?title=Guildhall_Museum,_Carlisle&action=edit&redlink=1
Haig Colliery Mining Museum	in_Cumbria	Industrial	/wiki/Haig_Colliery_Mining_Museum
Hawkshead Grammar School Museum	in_Cumbria	Other	/wiki/Hawkshead_Grammar_School_Museum
Helena Thompson Museum	in_Cumbria	Multiple	/w/index.php?title=Helena_Thompson_Museum&action=edit&redlink=1
Heron Corn Mill	in_Cumbria	Industrial	/wiki/Heron_Corn_Mill
Hill Top	in_Cumbria	Historic	/wiki/Hill_Top,_Cumbria
Holker Hall	in_Cumbria	Historic	/wiki/Holker_Hall
Hub of the North Pennines Museum	in_Cumbria	Multiple	/w/index.php?title=Hub_of_the_North_Pennines_Museum&action=edit&redlink=1
Hutton in the Forest	in_Cumbria	Historic	/wiki/Hutton_in_the_Forest
Kendal Museum	in_Cumbria	Multiple	/wiki/Kendal_Museum
Keswick Museum and Art Gallery	in_Cumbria	Multiple	/wiki/Keswick_Museum_and_Art_Gallery
Lakeland Motor Museum	in_Cumbria	Transport	/wiki/Lakeland_Motor_Museum
Laurel and Hardy Museum	in_Cumbria	Local	/w/index.php?title=Laurel_and_Hardy_Museum&action=edit&redlink=1
Levens Hall	in_Cumbria	Historic	/wiki/Levens_Hall
Maryport Maritime Museum	in_Cumbria	Transport	/w/index.php?title=Maryport_Maritime_Museum&action=edit&redlink=1
Millom Discovery Centre	in_Cumbria	Local	/wiki/Millom_Discovery_Centre
Mirehouse	in_Cumbria	Historic	/wiki/Mirehouse
Muncaster Castle	in_Cumbria	Historic	/wiki/Muncaster_Castle
Museum of Lakeland Life	in_Cumbria	Multiple	/wiki/Museum_of_Lakeland_Life
Nenthead Mines Heritage Centre	in_Cumbria	Industrial	/w/index.php?title=Nenthead_Mines_Heritage_Centre&action=edit&redlink=1
Quaker Tapestry	in_Cumbria	Other	/wiki/Quaker_Tapestry
Penrith and Eden Museum	in_Cumbria	Local	/w/index.php?title=Penrith_and_Eden_Museum&action=edit&redlink=1
Ravenglass & Eskdale Railway	in_Cumbria	Transport	/wiki/Ravenglass_railway_station
Rheged Centre	in_Cumbria	Arts	/w/index.php?title=Rheged_Centre&action=edit&redlink=1
Rum Story	in_Cumbria	Industrial	/wiki/Rum_Story
Ruskin Museum	in_Cumbria	Local	/wiki/Ruskin_Museum
Rydal Mount	in_Cumbria	Historic	/wiki/Rydal_Mount
Senhouse Roman Museum	in_Cumbria	Historic	/w/index.php?title=Senhouse_Roman_Museum&action=edit&redlink=1
Sir John Barrow Cottage	in_Cumbria	Historic	
Sizergh Castle & Garden	in_Cumbria	Historic	/wiki/Sizergh_Castle_%26_Garden
Solway Aviation Museum	in_Cumbria	Transport	/wiki/Solway_Aviation_Museum
Solway Coast Discovery Centre	in_Cumbria	Local	/w/index.php?title=Solway_Coast_Discovery_Centre&action=edit&redlink=1
Stott Park Bobbin Mill	in_Cumbria	Industrial	/wiki/Stott_Park_Bobbin_Mill
Threlkeld Quarry & Mining Museum	in_Cumbria	Industrial	/w/index.php?title=Threlkeld_Quarry_%26_Mining_Museum&action=edit&redlink=1
Townend	in_Cumbria	Historic	/wiki/Townend
Tullie House Museum and Art Gallery	in_Cumbria	Multiple	/wiki/Tullie_House_Museum_and_Art_Gallery
Windermere Steamboat Museum	in_Cumbria	Transport	/wiki/Windermere_Steamboat_Museum
Wordsworth House	in_Cumbria	Historic	/wiki/Wordsworth_House
World in Miniature Museum	in_Cumbria	Arts	/w/index.php?title=World_in_Miniature_Museum&action=edit&redlink=1
