name	county	type	wikipedia_link
Astley Hall Museum and Art Gallery	in_Lancashire	Multiple	/wiki/Astley_Hall_(Chorley)
Bacup Natural History Society Museum	in_Lancashire	Local	
Bancroft Mill Engine	in_Lancashire	Other	/wiki/Bancroft_Shed
Blackburn Museum and Art Gallery	in_Lancashire	Multiple	/wiki/Blackburn_Museum_and_Art_Gallery
British Commercial Vehicle Museum	in_Lancashire	Transport	/wiki/British_Commercial_Vehicle_Museum
British In India Museum	in_Lancashire	Historic	
Brooks Collectables Toy Museum	in_Lancashire	Arts	
Carnforth Station Heritage Centre	in_Lancashire	Local	
Chapel Gallery	in_Lancashire	Arts	/w/index.php?title=Chapel_Gallery&action=edit&redlink=1
Clitheroe Castle	in_Lancashire	Multiple	/wiki/Clitheroe_Castle
Colne Heritage Centre	in_Lancashire	Local	
Cottage Museum	in_Lancashire	Historic	/w/index.php?title=Cottage_Museum&action=edit&redlink=1
Fleetwood Museum	in_Lancashire	Local	/wiki/Fleetwood_Museum
Fylde Gallery	in_Lancashire	Arts	
Gawthorpe Hall	in_Lancashire	Historic	/wiki/Gawthorpe_Hall
Grundy Art Gallery	in_Lancashire	Arts	/wiki/Grundy_Art_Gallery
Harris Museum, Art Gallery & Preston Free Public Library	in_Lancashire	Multiple	/wiki/Harris_Museum
Haworth Art Gallery	in_Lancashire	Arts	/wiki/Haworth_Art_Gallery
Helmshore Mills Textile Museum	in_Lancashire	Industrial	/wiki/Helmshore_Mills_Textile_Museum
Heysham Heritage Centre	in_Lancashire	Local	
Hoghton Tower	in_Lancashire	Historic	/wiki/Hoghton_Tower
Judges Lodgings, Lancaster	in_Lancashire	Historic	/wiki/Judges_Lodgings,_Lancaster
King's Own Royal Regiment Museum	in_Lancashire	Other	/wiki/King%27s_Own_Royal_Regiment_Museum
Lancashire Infantry Museum	in_Lancashire	Other	/wiki/Lancashire_Infantry_Museum
Lancaster Castle	in_Lancashire	Historic	/wiki/Lancaster_Castle
Lancaster City Museum	in_Lancashire	Local	/wiki/Lancaster_City_Museum
Lancaster Maritime Museum	in_Lancashire	Transport	/wiki/Custom_House,_Lancaster
Leighton Hall	in_Lancashire	Historic	/wiki/Leighton_Hall,_Lancashire
Lytham Hall	in_Lancashire	Historic	/wiki/Lytham_Hall
Lytham Heritage Centre	in_Lancashire	Local	
Lytham Windmill Museum	in_Lancashire	Industrial	/wiki/Lytham_Windmill
Museum of Lancashire	in_Lancashire	Historic	/wiki/Museum_of_Lancashire
Pendle Heritage Centre	in_Lancashire	Local	/wiki/Pendle_Heritage_Centre
Peter Scott Gallery	in_Lancashire	Arts	/wiki/Lancaster_University#Cultural_venues
Platform Gallery	in_Lancashire	Arts	
Queen Street Mill Textile Museum	in_Lancashire	Industrial	/wiki/Queen_Street_Mill
Ribble Discovery Centre	in_Lancashire	Other	/w/index.php?title=Ribble_Discovery_Centre&action=edit&redlink=1
Ribble Steam Railway	in_Lancashire	Transport	/wiki/Ribble_Steam_Railway
Ribchester Roman Museum	in_Lancashire	Historic	/w/index.php?title=Ribchester_Roman_Museum&action=edit&redlink=1
Ripley's Believe It or Not!#United Kingdom	in_Lancashire	Other	/wiki/Ripley%27s_Believe_It_or_Not!#United_Kingdom
Rufford Old Hall	in_Lancashire	Historic	/wiki/Rufford_Old_Hall
Ruskin Library	in_Lancashire	Local	/wiki/Ruskin_Library
Samlesbury Hall	in_Lancashire	Historic	/wiki/Samlesbury_Hall
South Ribble Museum and Exhibition Centre	in_Lancashire	Local	/w/index.php?title=South_Ribble_Museum_and_Exhibition_Centre&action=edit&redlink=1
Towneley Hall	in_Lancashire	Multiple	/wiki/Towneley_Park
Turton Tower	in_Lancashire	Historic	/wiki/Turton_Urban_District#Turton_Tower
Weaver's Cottage	in_Lancashire	Historic	
Weavers' Triangle	in_Lancashire	Industrial	/wiki/Weavers%27_Triangle
The Whitaker	in_Lancashire	Multiple	/w/index.php?title=The_Whitaker&action=edit&redlink=1
Whitworth Museum	in_Lancashire	Local	
Woodend Mining Museum	in_Lancashire	Industrial	
Yorkshire Dales Mining Museum - Earby	in_Lancashire	Industrial	
