name	county	type	wikipedia_link
78 Derngate	in_Northamptonshire	Historic	/wiki/78_Derngate
Abington Park Museum	in_Northamptonshire	Multiple	/wiki/Abington_Park
Althorp	in_Northamptonshire	Historic	/wiki/Althorp
Boughton House	in_Northamptonshire	Historic	/wiki/Boughton_House
Burton Latimer Heritage Museum	in_Northamptonshire	Local	
The Canal Museum	in_Northamptonshire	Other	/wiki/The_Canal_Museum
Canons Ashby House	in_Northamptonshire	Historic	/wiki/Canons_Ashby_House
Carpetbagger Aviation Museum	in_Northamptonshire	Transport	/wiki/RAF_Harrington#Carpetbagger_Aviation_Museum
Corby Heritage Centre	in_Northamptonshire	Local	
Cottesbrooke Hall	in_Northamptonshire	Historic	/wiki/Cottesbrooke_Hall
Daventry Museum	in_Northamptonshire	Local	
Deene Park	in_Northamptonshire	Historic	/wiki/Deene_Park
Desborough Heritage Centre	in_Northamptonshire	Local	/w/index.php?title=Desborough_Heritage_Centre&action=edit&redlink=1
East Carlton Park Steel Heritage Centre	in_Northamptonshire	Local	/wiki/East_Carlton#East_Carlton_Country_Park
Irchester Narrow Gauge Railway Museum	in_Northamptonshire	Transport	/wiki/Irchester_Narrow_Gauge_Railway_Museum
Jeyes of Earls Barton Museums	in_Northamptonshire	Multiple	
Kelmarsh Hall	in_Northamptonshire	Historic	/wiki/Kelmarsh_Hall
Kettering Museum and Art Gallery	in_Northamptonshire	Multiple	/w/index.php?title=Kettering_Museum_and_Art_Gallery&action=edit&redlink=1
Kirby Hall	in_Northamptonshire	Historic	/wiki/Kirby_Hall
Lamport Hall	in_Northamptonshire	Historic	/wiki/Lamport_Hall
Long Buckby Museum	in_Northamptonshire	Local	
Museum of Leathercraft	in_Northamptonshire	Arts	
Northampton Museum and Art Gallery	in_Northamptonshire	Multiple	/wiki/Northampton_Museum_and_Art_Gallery
Northamptonshire Ironstone Railway Trust	in_Northamptonshire	Transport	/wiki/Northamptonshire_Ironstone_Railway_Trust
Oundle Museum	in_Northamptonshire	Local	
Piddington Villa Museum	in_Northamptonshire	Historic	/wiki/Piddington_Roman_Villa
Prebendal Manor House	in_Northamptonshire	Historic	/w/index.php?title=Prebendal_Manor_House&action=edit&redlink=1
Rockingham Castle	in_Northamptonshire	Historic	/wiki/Rockingham_Castle
Rothwell Arts and Heritage Centre	in_Northamptonshire	Multiple	
Rushden Museum	in_Northamptonshire	Local	
Rushden Transport Museum	in_Northamptonshire	Transport	/wiki/Rushden_Transport_Museum
Southwick Hall	in_Northamptonshire	Historic	/wiki/Southwick_Hall
Sulgrave Manor	in_Northamptonshire	Historic	/wiki/Sulgrave_Manor
Sywell Aviation Museum	in_Northamptonshire	Transport	/wiki/Sywell_Aviation_Museum
Wellingborough Museum	in_Northamptonshire	Local	/w/index.php?title=Wellingborough_Museum&action=edit&redlink=1
Wollaston Museum	in_Northamptonshire	Local	
