name	county	type	wikipedia_link
Amersham Museum	in_Buckinghamshire	Local	/wiki/Amersham_Museum
Ascott House	in_Buckinghamshire	Other	/wiki/Ascott_House
Bletchley Park	in_Buckinghamshire	Other	/wiki/Bletchley_Park
Boarstall Tower	in_Buckinghamshire	Other	/wiki/Boarstall_Tower
Buckingham Old Gaol	in_Buckinghamshire	Local	/wiki/Buckingham_Old_Gaol
Buckinghamshire County Museum	in_Buckinghamshire	Local	/wiki/Buckinghamshire_County_Museum
Buckinghamshire Railway Centre	in_Buckinghamshire	Other	/wiki/Buckinghamshire_Railway_Centre
Chenies Manor House	in_Buckinghamshire	Other	/wiki/Chenies_Manor_House
Chesham Museum	in_Buckinghamshire	Local	/wiki/Chesham_Museum
Chiltern Open Air Museum	in_Buckinghamshire	Other	/wiki/Chiltern_Open_Air_Museum
Claydon House	in_Buckinghamshire	Other	/wiki/Claydon_House
Cliveden	in_Buckinghamshire	Other	/wiki/Cliveden
Cowper & Newton Museum	in_Buckinghamshire	Other	/wiki/Cowper_%26_Newton_Museum
Dorney Court	in_Buckinghamshire	Other	/wiki/Dorney_Court
Haddenham Museum	in_Buckinghamshire	Local	/wiki/Haddenham_Museum
Hughenden Manor	in_Buckinghamshire	Other	/wiki/Hughenden_Manor
King's Head Inn, Aylesbury	in_Buckinghamshire	Other	/wiki/King%27s_Head_Inn,_Aylesbury
Long Crendon Courthouse	in_Buckinghamshire	Other	/wiki/Long_Crendon_Courthouse
Milton's Cottage	in_Buckinghamshire	Other	/wiki/Milton%27s_Cottage
Milton Keynes Museum	in_Buckinghamshire	Local	/wiki/Milton_Keynes_Museum
MK Gallery	in_Buckinghamshire	Other	/w/index.php?title=MK_Gallery&action=edit&redlink=1
National Museum of Computing	in_Buckinghamshire	Other	/wiki/National_Museum_of_Computing
Nether Winchendon House	in_Buckinghamshire	Other	/wiki/Nether_Winchendon
Pitstone Green Museum	in_Buckinghamshire	Other	/w/index.php?title=Pitstone_Green_Museum&action=edit&redlink=1
Pitstone Windmill	in_Buckinghamshire	Other	/wiki/Pitstone_Windmill
Quainton Windmill	in_Buckinghamshire	Other	/wiki/Quainton_Windmill
Roald Dahl Museum and Story Centre	in_Buckinghamshire	Other	/wiki/Roald_Dahl_Museum_and_Story_Centre
Stowe House	in_Buckinghamshire	Other	/wiki/Stowe_House
Trenchard Museum	in_Buckinghamshire	Other	/wiki/Trenchard_Museum
Waddesdon Manor	in_Buckinghamshire	Other	/wiki/Waddesdon_Manor
West Wycombe Park	in_Buckinghamshire	Other	/wiki/West_Wycombe_Park
Wycombe Museum	in_Buckinghamshire	Local	/wiki/Wycombe_Museum
