name	county	type	wikipedia_link
Abbot Hall Art Gallery	in_Cumbria	Other	/wiki/Abbot_Hall_Art_Gallery
Armitt Library	in_Cumbria	Local	/wiki/Armitt_Library
The Beacon, Whitehaven	in_Cumbria	Other	/w/index.php?title=The_Beacon,_Whitehaven&action=edit&redlink=1
Beatrix Potter Gallery	in_Cumbria	Other	/wiki/Beatrix_Potter_Gallery
Birdoswald Roman Fort	in_Cumbria	Other	/wiki/Birdoswald_Roman_Fort
Blackwell	in_Cumbria	Other	/wiki/Blackwell_(historic_house)
Brantwood	in_Cumbria	Other	/wiki/Brantwood
Brougham Hall	in_Cumbria	Other	/wiki/Brougham_Hall
Carlisle Castle	in_Cumbria	Other	/wiki/Carlisle_Castle
Dalemain Estate	in_Cumbria	Other	/wiki/Dalemain
Dalton Castle	in_Cumbria	Other	/wiki/Dalton_Castle
Derwent Island House	in_Cumbria	Other	/wiki/Derwent_Island_House
Derwent Pencil Museum	in_Cumbria	Other	/wiki/Derwent_Pencil_Museum
Dock Museum	in_Cumbria	Local	/wiki/Dock_Museum
Dove Cottage	in_Cumbria	Other	/wiki/Dove_Cottage
Guildhall Museum, Carlisle	in_Cumbria	Other	/w/index.php?title=Guildhall_Museum,_Carlisle&action=edit&redlink=1
Haig Colliery Mining Museum	in_Cumbria	Other	/wiki/Haig_Colliery_Mining_Museum
Hawkshead Grammar School Museum	in_Cumbria	Historic	/wiki/Hawkshead_Grammar_School_Museum
Helena Thompson Museum	in_Cumbria	Other	/w/index.php?title=Helena_Thompson_Museum&action=edit&redlink=1
Heron Corn Mill	in_Cumbria	Other	/wiki/Heron_Corn_Mill
Hill Top	in_Cumbria	Other	/wiki/Hill_Top,_Cumbria
Holker Hall	in_Cumbria	Other	/wiki/Holker_Hall
Hub of the North Pennines Museum	in_Cumbria	Other	/w/index.php?title=Hub_of_the_North_Pennines_Museum&action=edit&redlink=1
Hutton in the Forest	in_Cumbria	Other	/wiki/Hutton_in_the_Forest
Kendal Museum	in_Cumbria	Local	/wiki/Kendal_Museum
Keswick Museum and Art Gallery	in_Cumbria	Local	/wiki/Keswick_Museum_and_Art_Gallery
Lakeland Motor Museum	in_Cumbria	Other	/wiki/Lakeland_Motor_Museum
Laurel and Hardy Museum	in_Cumbria	Other	/w/index.php?title=Laurel_and_Hardy_Museum&action=edit&redlink=1
Levens Hall	in_Cumbria	Other	/wiki/Levens_Hall
Maryport Maritime Museum	in_Cumbria	Other	/w/index.php?title=Maryport_Maritime_Museum&action=edit&redlink=1
Millom Discovery Centre	in_Cumbria	Other	/wiki/Millom_Discovery_Centre
Mirehouse	in_Cumbria	Other	/wiki/Mirehouse
Muncaster Castle	in_Cumbria	Other	/wiki/Muncaster_Castle
Museum of Lakeland Life & Industry	in_Cumbria	Local	/wiki/Museum_of_Lakeland_Life_%26_Industry
Nenthead Mines Heritage Centre	in_Cumbria	Other	/w/index.php?title=Nenthead_Mines_Heritage_Centre&action=edit&redlink=1
Penrith and Eden Museum	in_Cumbria	Other	/wiki/Penrith_and_Eden_Museum
Quaker Tapestry	in_Cumbria	Other	/wiki/Quaker_Tapestry
Ravenglass & Eskdale Railway	in_Cumbria	Other	/wiki/Ravenglass_railway_station
Rheged Centre	in_Cumbria	Other	/w/index.php?title=Rheged_Centre&action=edit&redlink=1
Rum Story	in_Cumbria	Other	/wiki/Rum_Story
Ruskin Museum	in_Cumbria	Local	/wiki/Ruskin_Museum
Rydal Mount	in_Cumbria	Other	/wiki/Rydal_Mount
Senhouse Roman Museum	in_Cumbria	Other	/w/index.php?title=Senhouse_Roman_Museum&action=edit&redlink=1
Sir John Barrow Cottage	in_Cumbria	Other	
Sizergh Castle & Garden	in_Cumbria	Other	/wiki/Sizergh_Castle_%26_Garden
Solway Aviation Museum	in_Cumbria	Other	/wiki/Solway_Aviation_Museum
Solway Coast Discovery Centre	in_Cumbria	Other	/w/index.php?title=Solway_Coast_Discovery_Centre&action=edit&redlink=1
Stott Park Bobbin Mill	in_Cumbria	Other	/wiki/Stott_Park_Bobbin_Mill
Threlkeld Quarry & Mining Museum	in_Cumbria	Other	/w/index.php?title=Threlkeld_Quarry_%26_Mining_Museum&action=edit&redlink=1
Townend	in_Cumbria	Other	/wiki/Townend
Tullie House Museum and Art Gallery	in_Cumbria	Other	/wiki/Tullie_House_Museum_and_Art_Gallery
Windermere Jetty	in_Cumbria	Other	/wiki/Windermere_Jetty
Wordsworth House	in_Cumbria	Other	/wiki/Wordsworth_House
World in Miniature Museum	in_Cumbria	Other	/w/index.php?title=World_in_Miniature_Museum&action=edit&redlink=1
