name	county	type	wikipedia_link
Art Exchange	in_Essex	Other	/w/index.php?title=Art_Exchange&action=edit&redlink=1
Ashdon Museum	in_Essex	Other	/w/index.php?title=Ashdon_Museum&action=edit&redlink=1
Audley End House	in_Essex	Other	/wiki/Audley_End_House
Aythorpe Roding Windmill	in_Essex	Other	/wiki/Aythorpe_Roding_Windmill
Barleylands Farm Museum	in_Essex	Other	/wiki/Barleylands_Farm_Museum
Beecroft Art Gallery	in_Essex	Other	/wiki/Beecroft_Art_Gallery
Bocking Windmill	in_Essex	Other	/wiki/Bocking_Windmill
Bourne Mill, Essex	in_Essex	Other	/w/index.php?title=Bourne_Mill,_Essex&action=edit&redlink=1
Boxted Airfield Museum	in_Essex	Other	/w/index.php?title=Boxted_Airfield_Museum&action=edit&redlink=1
Bragg's Mill	in_Essex	Other	/wiki/Bragg%27s_Mill,_Ashdon
Braintree Museum	in_Essex	Other	/w/index.php?title=Braintree_Museum&action=edit&redlink=1
Brentwood Museum	in_Essex	Other	
Brightlingsea Museum	in_Essex	Other	
Burnham-on-Crouch & District Museum	in_Essex	Local	/wiki/Burnham-on-Crouch_%26_District_Museum
Canvey Island Heritage Centre	in_Essex	Other	
Canvey Island Transport Museum	in_Essex	Other	
Cater Museum	in_Essex	Other	/wiki/Cater_Museum
Chelmsford Museum	in_Essex	Local	/wiki/Chelmsford_Museum
Coalhouse Fort	in_Essex	Other	/wiki/Coalhouse_Fort
Coggeshall Grange Barn	in_Essex	Other	/wiki/Coggeshall_Grange_Barn
Coggeshall Museum	in_Essex	Other	
Colchester Castle Museum	in_Essex	Other	/wiki/Colchester_Castle
Colne Valley Postal History Museum	in_Essex	Other	
Colne Valley Railway	in_Essex	Other	/wiki/Colne_Valley_Railway
Combined Military Services Museum	in_Essex	Other	/wiki/Combined_Military_Services_Museum
Copped Hall	in_Essex	Other	/wiki/Copped_Hall
Cressing Temple	in_Essex	Other	/wiki/Cressing_Temple
Duck End Mill	in_Essex	Other	/wiki/Duck_End_Mill,_Finchingfield
Dutch Cottage Museum	in_Essex	Other	
Earls Colne Heritage Museum	in_Essex	Other	
East Anglian Railway Museum	in_Essex	Other	/wiki/East_Anglian_Railway_Museum
