name	county	type	wikipedia_link
Berrington Hall	in_Herefordshire	Other	/wiki/Berrington_Hall
Brockhampton Estate	in_Herefordshire	Other	/wiki/Brockhampton_Estate
Bromyard & District Local History Centre	in_Herefordshire	Other	
Butchers Row House Museum	in_Herefordshire	Other	/w/index.php?title=Butchers_Row_House_Museum&action=edit&redlink=1
Cider Museum Hereford	in_Herefordshire	Other	/wiki/Cider_Museum_Hereford
Courtyard, Hereford	in_Herefordshire	Other	/wiki/Courtyard,_Hereford
Croft Castle	in_Herefordshire	Other	/wiki/Croft_Castle
Eardisland Dovecote	in_Herefordshire	Other	
Eastnor Castle	in_Herefordshire	Other	/wiki/Eastnor_Castle
Goodrich Castle	in_Herefordshire	Other	/wiki/Goodrich_Castle
Hampton Court, Herefordshire	in_Herefordshire	Other	/wiki/Hampton_Court,_Herefordshire
Hellens	in_Herefordshire	Other	/wiki/Hellens
Hereford Museum and Art Gallery	in_Herefordshire	Local	/wiki/Hereford_Museum_and_Art_Gallery
Hereford Society of Model Engineers	in_Herefordshire	Other	
Herefordshire Light Infantry Museum	in_Herefordshire	Other	/wiki/Herefordshire_Light_Infantry_Museum
Kington Museum	in_Herefordshire	Other	/wiki/Kington_Museum
Ledbury Heritage Centre	in_Herefordshire	Local	
Leominster Museum	in_Herefordshire	Local	/wiki/Leominster_Museum
Mappa Mundi & Chained Library	in_Herefordshire	Other	/wiki/Hereford_Mappa_Mundi
Market House Heritage Centre	in_Herefordshire	Other	
Mortimer's Cross Water Mill	in_Herefordshire	Other	/wiki/Mortimer%27s_Cross_Water_Mill
Old House, Hereford	in_Herefordshire	Other	/wiki/Old_House,_Hereford
St John Medieval Museum & Coningsby Hospital	in_Herefordshire	Other	
Time Machine Museum	in_Herefordshire	Other	/w/index.php?title=Time_Machine_Museum&action=edit&redlink=1
Violette Szabo Museum	in_Herefordshire	Other	
Waterworks Museum	in_Herefordshire	Other	/w/index.php?title=Waterworks_Museum,_Hereford&action=edit&redlink=1
Weobley Museum	in_Herefordshire	Other	
Wilton Castle	in_Herefordshire	Other	/wiki/Wilton_Castle
