name	county	type	wikipedia_link
Astley Hall Museum and Art Gallery	in_Lancashire	Historic	/wiki/Astley_Hall_(Chorley)
Bacup Natural History Society Museum	in_Lancashire	Other	
Bancroft Mill Engine	in_Lancashire	Other	/wiki/Bancroft_Shed
Blackburn Museum and Art Gallery	in_Lancashire	Local	/wiki/Blackburn_Museum_and_Art_Gallery
British Commercial Vehicle Museum	in_Lancashire	Transport	/wiki/British_Commercial_Vehicle_Museum
British In India Museum	in_Lancashire	Other	
Brooks Collectables Toy Museum	in_Lancashire	Other	
Carnforth Station Heritage Centre	in_Lancashire	Other	
Chapel Gallery	in_Lancashire	Other	/w/index.php?title=Chapel_Gallery&action=edit&redlink=1
Clitheroe Castle	in_Lancashire	Other	/wiki/Clitheroe_Castle
Colne Heritage Centre	in_Lancashire	Other	
Cottage Museum	in_Lancashire	Other	/wiki/Cottage_Museum
Fleetwood Museum	in_Lancashire	Local	/wiki/Fleetwood_Museum
Fylde Gallery	in_Lancashire	Other	
Gawthorpe Hall	in_Lancashire	Other	/wiki/Gawthorpe_Hall
Grundy Art Gallery	in_Lancashire	Other	/wiki/Grundy_Art_Gallery
Harris Museum, Art Gallery & Preston Free Public Library	in_Lancashire	Local	/wiki/Harris_Museum
Haworth Art Gallery	in_Lancashire	Other	/wiki/Haworth_Art_Gallery
Helmshore Mills Textile Museum	in_Lancashire	Other	/wiki/Helmshore_Mills_Textile_Museum
Heysham Heritage Centre	in_Lancashire	Other	
Hoghton Tower	in_Lancashire	Other	/wiki/Hoghton_Tower
Judges Lodgings, Lancaster	in_Lancashire	Other	/wiki/Judges_Lodgings,_Lancaster
King's Own Royal Regiment Museum	in_Lancashire	Other	/wiki/King%27s_Own_Royal_Regiment_Museum
Lancashire Infantry Museum	in_Lancashire	Other	/wiki/Lancashire_Infantry_Museum
Lancaster Castle	in_Lancashire	Other	/wiki/Lancaster_Castle
Lancaster City Museum	in_Lancashire	Other	/wiki/Lancaster_City_Museum
Lancaster Maritime Museum	in_Lancashire	Other	/wiki/Custom_House,_Lancaster
Leighton Hall	in_Lancashire	Other	/wiki/Leighton_Hall,_Lancashire
Lytham Hall	in_Lancashire	Other	/wiki/Lytham_Hall
Lytham Heritage Centre	in_Lancashire	Other	
Lytham Windmill Museum	in_Lancashire	Other	/wiki/Lytham_Windmill
Museum of Lancashire	in_Lancashire	Other	/wiki/Museum_of_Lancashire
Pendle Heritage Centre	in_Lancashire	Local	/wiki/Pendle_Heritage_Centre
Peter Scott Gallery	in_Lancashire	Other	/wiki/Lancaster_University#Cultural_venues
Platform Gallery	in_Lancashire	Other	
Queen Street Mill Textile Museum	in_Lancashire	Other	/wiki/Queen_Street_Mill
Ribble Discovery Centre	in_Lancashire	Other	/w/index.php?title=Ribble_Discovery_Centre&action=edit&redlink=1
Ribble Steam Railway	in_Lancashire	Other	/wiki/Ribble_Steam_Railway
Ribchester Roman Museum	in_Lancashire	Other	/w/index.php?title=Ribchester_Roman_Museum&action=edit&redlink=1
Ripley's Believe It or Not!#United Kingdom	in_Lancashire	Other	/wiki/Ripley%27s_Believe_It_or_Not!#United_Kingdom
Rufford Old Hall	in_Lancashire	Other	/wiki/Rufford_Old_Hall
Ruskin Library	in_Lancashire	Other	/wiki/Ruskin_Library
Samlesbury Hall	in_Lancashire	Other	/wiki/Samlesbury_Hall
South Ribble Museum and Exhibition Centre	in_Lancashire	Other	/w/index.php?title=South_Ribble_Museum_and_Exhibition_Centre&action=edit&redlink=1
Towneley Hall	in_Lancashire	Other	/wiki/Towneley_Park
Turton Tower	in_Lancashire	Other	/wiki/Turton_Urban_District#Turton_Tower
Weaver's Cottage	in_Lancashire	Other	
Weavers' Triangle	in_Lancashire	Other	/wiki/Weavers%27_Triangle
The Whitaker	in_Lancashire	Other	/w/index.php?title=The_Whitaker&action=edit&redlink=1
Whitworth Museum	in_Lancashire	Other	
Woodend Mining Museum	in_Lancashire	Other	
Yorkshire Dales Mining Museum - Earby	in_Lancashire	Other	
