name	county	type	wikipedia_link
Abbey Pumping Station	in_Leicestershire	Other	/wiki/Abbey_Pumping_Station
Ashby de la Zouch Museum	in_Leicestershire	Other	/w/index.php?title=Ashby_de_la_Zouch_Museum&action=edit&redlink=1
Belgrave Hall	in_Leicestershire	Other	/wiki/Belgrave_Hall
Belvoir Castle	in_Leicestershire	Other	/wiki/Belvoir_Castle
Bosworth Battlefield Heritage Centre and Country Park	in_Leicestershire	Historic	/wiki/Bosworth_Battlefield
Bruntingthorpe Aerodrome Aircraft Museum	in_Leicestershire	Other	/wiki/Bruntingthorpe_Aerodrome
Charnwood Museum	in_Leicestershire	Other	/wiki/Charnwood_Museum
Castle Donington Museum	in_Leicestershire	Other	
Conkers	in_Leicestershire	Other	/w/index.php?title=Conkers_(park)&action=edit&redlink=1
Donington Grand Prix Exhibition	in_Leicestershire	Other	/wiki/Donington_Grand_Prix_Exhibition
Donington le Heath Manor House Museum	in_Leicestershire	Other	/wiki/Donington_le_Heath_Manor_House_Museum
De Montfort University Heritage Centre	in_Leicestershire	Other	/w/index.php?title=De_Montfort_University_Heritage_Centre&action=edit&redlink=1
East Midlands Aeropark	in_Leicestershire	Other	/wiki/East_Midlands_Airport#East_Midlands_Aeropark
Foxton Canal Museum	in_Leicestershire	Historic	/wiki/Foxton_Locks#Foxton_Canal_Museum
Fleckney Museum	in_Leicestershire	Other	/w/index.php?title=Fleckney_Museum&action=edit&redlink=1
Guru Nanak Sikh Museum	in_Leicestershire	Other	/w/index.php?title=Guru_Nanak_Sikh_Museum&action=edit&redlink=1
Hallaton Museum	in_Leicestershire	Other	
Harborough Museum	in_Leicestershire	Local	/wiki/Harborough_Museum
Hinckley and District Museum	in_Leicestershire	Other	
Jewry Wall Museum	in_Leicestershire	Other	/wiki/Jewry_Wall_Museum
John Taylor & Co	in_Leicestershire	Other	/wiki/John_Taylor_%26_Co
Kegworth Museum	in_Leicestershire	Local	
King Richard III: Dynasty, Death and Discovery	in_Leicestershire	Other	
Leicester City Fire Brigade Museum	in_Leicestershire	Other	
Leicester Guildhall	in_Leicestershire	Other	/wiki/Leicester_Guildhall
Loughborough Carillon & War Memorial	in_Leicestershire	Other	/wiki/Loughborough_Carillon
Loughborough Central Station	in_Leicestershire	Other	/wiki/Loughborough_Central_railway_station
Lutterworth Museum	in_Leicestershire	Other	/w/index.php?title=Lutterworth_Museum&action=edit&redlink=1
Measham Museum	in_Leicestershire	Other	
Melton Carnegie Museum	in_Leicestershire	Local	/wiki/Melton_Carnegie_Museum
Moira Furnace	in_Leicestershire	Other	/wiki/Moira_Furnace
National Gas Museum Leicester	in_Leicestershire	Other	/wiki/Gas_Museum_(Leicester)
National Space Centre	in_Leicestershire	Other	/wiki/National_Space_Centre
New Walk Museum and Art Gallery	in_Leicestershire	Other	/wiki/New_Walk_Museum
Newarke Houses Museum	in_Leicestershire	Local	/wiki/Newarke_Houses_Museum
Old Rectory Museum	in_Leicestershire	Other	
Rockingham Castle	in_Leicestershire	Other	/wiki/Rockingham_Castle
Shackerstone Railwayana Museum	in_Leicestershire	Other	/wiki/Shackerstone_railway_station
Sir John Moore Heritage Centre	in_Leicestershire	Other	
Stanford Hall	in_Leicestershire	Other	/wiki/Stanford_Hall,_Leicestershire
Stonehurst Family Farm and Motor Museum	in_Leicestershire	Other	/wiki/Stonehurst_Family_Farm_and_Motor_Museum
Stoneywell	in_Leicestershire	Other	/wiki/Stoneywell
Swannington Hough Mill	in_Leicestershire	Other	/wiki/Hough_Windmill
Wigston Framework Knitters Museum	in_Leicestershire	Other	
William Carey Museum	in_Leicestershire	Other	
