name	county	type	wikipedia_link
78 Derngate	in_Northamptonshire	Other	/wiki/78_Derngate
Abington Park Museum	in_Northamptonshire	Local	/wiki/Abington_Park
Althorp	in_Northamptonshire	Other	/wiki/Althorp
Boughton House	in_Northamptonshire	Other	/wiki/Boughton_House
Burton Latimer Heritage Museum	in_Northamptonshire	Other	
The Canal Museum	in_Northamptonshire	Historic	/wiki/The_Canal_Museum
Canons Ashby House	in_Northamptonshire	Other	/wiki/Canons_Ashby_House
Carpetbagger Aviation Museum	in_Northamptonshire	Historic	/wiki/RAF_Harrington#Carpetbagger_Aviation_Museum
Corby Heritage Centre	in_Northamptonshire	Other	
Cottesbrooke Hall	in_Northamptonshire	Other	/wiki/Cottesbrooke_Hall
Daventry Museum	in_Northamptonshire	Other	
Deene Park	in_Northamptonshire	Other	/wiki/Deene_Park
Desborough Heritage Centre	in_Northamptonshire	Other	/w/index.php?title=Desborough_Heritage_Centre&action=edit&redlink=1
East Carlton Park Steel Heritage Centre	in_Northamptonshire	Other	/wiki/East_Carlton#East_Carlton_Country_Park
Irchester Narrow Gauge Railway Museum	in_Northamptonshire	Other	/wiki/Irchester_Narrow_Gauge_Railway_Museum
Jeyes of Earls Barton Museums	in_Northamptonshire	Other	
Kelmarsh Hall	in_Northamptonshire	Other	/wiki/Kelmarsh_Hall
Kettering Museum and Art Gallery	in_Northamptonshire	Other	/w/index.php?title=Kettering_Museum_and_Art_Gallery&action=edit&redlink=1
Kirby Hall	in_Northamptonshire	Other	/wiki/Kirby_Hall
Lamport Hall	in_Northamptonshire	Other	/wiki/Lamport_Hall
Long Buckby Museum	in_Northamptonshire	Other	
Museum of Leathercraft	in_Northamptonshire	Other	
Northampton Museum and Art Gallery	in_Northamptonshire	Other	/wiki/Northampton_Museum_and_Art_Gallery
Northamptonshire Ironstone Railway Trust	in_Northamptonshire	Other	/wiki/Northamptonshire_Ironstone_Railway_Trust
Oundle Museum	in_Northamptonshire	Other	
Piddington Villa Museum	in_Northamptonshire	Other	/wiki/Piddington_Roman_Villa
Prebendal Manor House	in_Northamptonshire	Other	/w/index.php?title=Prebendal_Manor_House&action=edit&redlink=1
Rockingham Castle	in_Northamptonshire	Other	/wiki/Rockingham_Castle
Rothwell Arts and Heritage Centre	in_Northamptonshire	Other	
Rushden Museum	in_Northamptonshire	Other	
Rushden Transport Museum	in_Northamptonshire	Transport	/wiki/Rushden_Transport_Museum
Southwick Hall	in_Northamptonshire	Other	/wiki/Southwick_Hall
Sulgrave Manor	in_Northamptonshire	Other	/wiki/Sulgrave_Manor
Sywell Aviation Museum	in_Northamptonshire	Other	/wiki/Sywell_Aviation_Museum
Wellingborough Museum	in_Northamptonshire	Other	/w/index.php?title=Wellingborough_Museum&action=edit&redlink=1
Wollaston Museum	in_Northamptonshire	Other	
