name	county	type	wikipedia_link
American Museum in Britain	in_Somerset	Other	/wiki/American_Museum_in_Britain
Ashton Windmill	in_Somerset	Other	/wiki/Ashton_Windmill
Bakelite Museum	in_Somerset	Other	/wiki/Bakelite_Museum
Barrington Court	in_Somerset	Other	/wiki/Barrington_Court
Bath Abbey Heritage Vaults Museum	in_Somerset	Other	/wiki/Bath_Abbey#Heritage_Vaults_Museum
Bath Postal Museum	in_Somerset	Other	/wiki/Bath_Postal_Museum
Bath Royal Literary and Scientific Institution	in_Somerset	Other	/wiki/Bath_Royal_Literary_and_Scientific_Institution
Beckford's Tower and Museum	in_Somerset	Other	/wiki/Beckford%27s_Tower
Bishops Lydeard Mill and Rural Life Museum	in_Somerset	Other	/wiki/Bishops_Lydeard_Mill_and_Rural_Life_Museum
Bishop's Palace	in_Somerset	Other	/wiki/Bishop%27s_Palace,_Wells
Blagdon Lake Pumping Station and Visitor Centre	in_Somerset	Other	/wiki/Blagdon_Lake
Blake Museum	in_Somerset	Other	/wiki/Blake_Museum
Blue Anchor Railway Museum	in_Somerset	Other	/wiki/Blue_Anchor_railway_station#Museum
Bruton Museum	in_Somerset	Other	/wiki/Bruton_Museum
Castle Cary and District Museum	in_Somerset	Other	/wiki/Castle_Cary_and_District_Museum
Chard Museum	in_Somerset	Other	/wiki/Chard_Museum
Cheddar Caves and Gorge	in_Somerset	Other	/wiki/Cheddar_Gorge
Claverton Pumping Station	in_Somerset	Other	/wiki/Claverton_Pumping_Station
Cleeve Abbey	in_Somerset	Other	/wiki/Cleeve_Abbey
Clevedon Court	in_Somerset	Other	/wiki/Clevedon_Court
Coleridge Cottage	in_Somerset	Other	/wiki/Coleridge_Cottage
Cothay Manor	in_Somerset	Other	/wiki/Cothay_Manor
Crewkerne and District Museum	in_Somerset	Other	/wiki/Crewkerne_and_District_Museum
Dunster Castle	in_Somerset	Other	/wiki/Dunster_Castle
Dunster Museum & Doll Collection	in_Somerset	Other	/wiki/Dunster_Museum_%26_Doll_Collection
Dunster Working Watermill	in_Somerset	Other	/wiki/Dunster_Working_Watermill
East Somerset Railway	in_Somerset	Other	/wiki/East_Somerset_Railway
Farleigh Hungerford Castle	in_Somerset	Other	/wiki/Farleigh_Hungerford_Castle
Fashion Museum, Bath	in_Somerset	Other	/wiki/Fashion_Museum,_Bath
Fleet Air Arm Museum	in_Somerset	Other	/wiki/Fleet_Air_Arm_Museum
Frome Museum	in_Somerset	Other	/wiki/Frome_Museum
Fyne Court	in_Somerset	Other	/wiki/Fyne_Court
Gants Mill	in_Somerset	Other	/wiki/Gants_Mill
Glastonbury Abbey	in_Somerset	Other	/wiki/Glastonbury_Abbey
Glastonbury Lake Village Museum	in_Somerset	Other	/wiki/The_Tribunal,_Glastonbury
Haynes International Motor Museum	in_Somerset	Other	/wiki/Haynes_International_Motor_Museum
Helicopter Museum	in_Somerset	Other	/wiki/The_Helicopter_Museum_(Weston)
Herschel Museum of Astronomy	in_Somerset	Other	/wiki/Herschel_Museum_of_Astronomy
Holburne Museum of Art	in_Somerset	Other	/wiki/Holburne_Museum_of_Art
Ilchester Museum	in_Somerset	Other	/wiki/Ilchester_Museum
Jane Austen Centre	in_Somerset	Other	/wiki/Jane_Austen_Centre
King John's Hunting Lodge	in_Somerset	Other	/wiki/King_John%27s_Hunting_Lodge,_Axbridge
Lambretta Scooter Museum	in_Somerset	Other	/wiki/Lambretta_Scooter_Museum
Langport and River Parrett Visitor Centre	in_Somerset	Other	
Lytes Cary Manor	in_Somerset	Other	/wiki/Lytes_Cary
Market House Museum	in_Somerset	Other	/wiki/Market_House_Museum
Montacute House	in_Somerset	Other	/wiki/Montacute_House
Montacute TV Radio Toy Museum	in_Somerset	Other	/w/index.php?title=Montacute_TV_Radio_Toy_Museum&action=edit&redlink=1
Muchelney Abbey	in_Somerset	Other	/wiki/Muchelney_Abbey
Museum of Bath Architecture	in_Somerset	Other	/wiki/Museum_of_Bath_Architecture
Museum of Bath at Work	in_Somerset	Other	/wiki/Museum_of_Bath_at_Work
Museum of East Asian Art	in_Somerset	Other	/wiki/Museum_of_East_Asian_Art,_Bath
Museum of Somerset	in_Somerset	Other	/wiki/Museum_of_Somerset
No. 1 Royal Crescent	in_Somerset	Other	/wiki/Royal_Crescent#Current_use
Porlock Museum	in_Somerset	Other	/wiki/Porlock_Museum
Priest's House	in_Somerset	Other	/wiki/The_Priest%27s_House,_Muchelney
Radstock Museum	in_Somerset	Other	/wiki/Radstock_Museum
Roman Baths	in_Somerset	Other	/wiki/Roman_Baths_(Bath)
Sally Lunn's House	in_Somerset	Other	/wiki/Sally_Lunn%27s_House
Shoe Museum	in_Somerset	Other	/wiki/The_Shoe_Museum
Somerset and Dorset Railway Heritage Centre	in_Somerset	Other	/wiki/Midsomer_Norton_railway_station#Somerset_and_Dorset_Railway_Heritage_Centre
Somerset and Dorset Railway Trust Museum	in_Somerset	Other	/wiki/Washford_railway_station#Somerset_and_Dorset_Railway_Trust_Museum
Somerset Brick and Tile Museum	in_Somerset	Other	/wiki/Somerset_Brick_and_Tile_Museum
Somerset Cricket Museum	in_Somerset	Other	/wiki/Somerset_Cricket_Museum
Somerset Military Museum	in_Somerset	Other	/wiki/Somerset_Military_Museum
Somerset Rural Life Museum	in_Somerset	Other	/wiki/Somerset_Rural_Life_Museum
