name	county	type	wikipedia_link
Aldeburgh Museum	in_Suffolk	Other	/w/index.php?title=Aldeburgh_Museum&action=edit&redlink=1
Alfred Corry Lifeboat Museum	in_Suffolk	Other	
Amber Shop and Museum	in_Suffolk	Other	
The Apex	in_Suffolk	Other	/w/index.php?title=The_Apex&action=edit&redlink=1
Bardwell Windmill	in_Suffolk	Other	/wiki/Bardwell_Windmill
Bawdsey Manor	in_Suffolk	Other	/wiki/Bawdsey_Manor
Beccles & District Museum	in_Suffolk	Other	
Bentwaters Cold War Museum	in_Suffolk	Historic	/wiki/Bentwaters_Cold_War_Museum
Brandon Heritage Centre	in_Suffolk	Other	
Bungay Museum	in_Suffolk	Other	
Buttrum's Mill	in_Suffolk	Other	/wiki/Buttrum%27s_Mill,_Woodbridge
Christchurch Mansion	in_Suffolk	Other	/wiki/Christchurch_Mansion
Clare Ancient House Museum	in_Suffolk	Other	/wiki/Ancient_House,_Clare
Clifford Road Air Raid Shelter	in_Suffolk	Other	/wiki/Clifford_Road_Air_Raid_Shelter
Dunwich Museum	in_Suffolk	Other	
East Anglia Transport Museum	in_Suffolk	Historic	/wiki/East_Anglia_Transport_Museum
Easton Farm Park	in_Suffolk	Other	
Euston Hall	in_Suffolk	Other	/wiki/Euston_Hall
Felixstowe Museum	in_Suffolk	Other	/wiki/Landguard_Fort#Felixstowe_Museum
Flatford: Bridge Cottage	in_Suffolk	Other	/wiki/Bridge_Cottage
Framlingham Castle	in_Suffolk	Other	/wiki/Framlingham_Castle
Gainsborough's House	in_Suffolk	Other	/wiki/Gainsborough%27s_House
Greene King Visitor Centre	in_Suffolk	Historic	/wiki/Greene_King_Brewery
Halesworth Museum	in_Suffolk	Other	
Haverhill Local History Centre	in_Suffolk	Other	
Herringfleet Windmill	in_Suffolk	Other	/wiki/Herringfleet_Windmill
HMS Ganges Museum	in_Suffolk	Other	
Ickworth House, Park & Garden	in_Suffolk	Other	/wiki/Ickworth_House
Ipswich Art School Gallery	in_Suffolk	Other	
Ipswich Maritime Trust Window Museum	in_Suffolk	Other	
Ipswich Museum	in_Suffolk	Historic	/wiki/Ipswich_Museum
Ipswich Transport Museum	in_Suffolk	Other	/wiki/Ipswich_Transport_Museum
Kentwell Hall	in_Suffolk	Other	/wiki/Kentwell_Hall
Landguard Fort	in_Suffolk	Historic	/wiki/Landguard_Fort
Lanman Museum	in_Suffolk	Other	/w/index.php?title=Lanman_Museum&action=edit&redlink=1
Lavenham Guildhall	in_Suffolk	Other	/wiki/Lavenham_Guildhall
Laxfield & District Museum	in_Suffolk	Other	/w/index.php?title=Laxfield_%26_District_Museum&action=edit&redlink=1
Little Hall Lavenham	in_Suffolk	Other	/w/index.php?title=Little_Hall_Lavenham&action=edit&redlink=1
