name	county	type	wikipedia_link
Arbeia Roman Fort and Museum	in_Tyne_and_Wear	Other	/wiki/Arbeia
Baltic Centre for Contemporary Art	in_Tyne_and_Wear	Other	/wiki/Baltic_Centre_for_Contemporary_Art
Bessie Surtees House	in_Tyne_and_Wear	Other	/wiki/Bessie_Surtees_House
Bowes Railway	in_Tyne_and_Wear	Other	/wiki/Bowes_Railway
Castle Keep	in_Tyne_and_Wear	Other	/wiki/The_Castle,_Newcastle
Centre for Life	in_Tyne_and_Wear	Other	/wiki/Centre_for_Life
Customs House	in_Tyne_and_Wear	Other	/wiki/The_Customs_House,_South_Shields
Discovery Museum	in_Tyne_and_Wear	Other	/wiki/Discovery_Museum
Fulwell Windmill	in_Tyne_and_Wear	Other	/w/index.php?title=Fulwell_Windmill&action=edit&redlink=1
Gateshead Heritage @ St Mary`s	in_Tyne_and_Wear	Other	/w/index.php?title=Gateshead_Heritage_@_St_Mary%60s&action=edit&redlink=1
Globe Gallery	in_Tyne_and_Wear	Other	/w/index.php?title=Globe_Gallery&action=edit&redlink=1
Great North Museum: Hancock	in_Tyne_and_Wear	Other	/wiki/Great_North_Museum:_Hancock
Hatton Gallery	in_Tyne_and_Wear	Other	/wiki/Hatton_Gallery
Holy Jesus Hospital	in_Tyne_and_Wear	Other	/wiki/Holy_Jesus_Hospital
Jarrow Hall	in_Tyne_and_Wear	Other	/wiki/Jarrow_Hall
Laing Art Gallery	in_Tyne_and_Wear	Other	/wiki/Laing_Art_Gallery
Monkwearmouth Station Museum	in_Tyne_and_Wear	Transport	/wiki/Monkwearmouth_Station_Museum
National Glass Centre	in_Tyne_and_Wear	Historic	/wiki/National_Glass_Centre
Newburn Hall Motor Museum	in_Tyne_and_Wear	Other	/w/index.php?title=Newburn_Hall_Motor_Museum&action=edit&redlink=1
North East Aircraft Museum	in_Tyne_and_Wear	Historic	/wiki/North_East_Aircraft_Museum
Northern Gallery for Contemporary Art	in_Tyne_and_Wear	Other	/wiki/Northern_Gallery_for_Contemporary_Art
Northumbria University Gallery	in_Tyne_and_Wear	Other	/w/index.php?title=Northumbria_University_Gallery&action=edit&redlink=1
Old Low Light	in_Tyne_and_Wear	Other	/wiki/High_and_Low_Lights_of_North_Shields
Path Head Watermill	in_Tyne_and_Wear	Other	/wiki/Path_Head_Watermill
Reg Vardy Gallery	in_Tyne_and_Wear	Other	/w/index.php?title=Reg_Vardy_Gallery&action=edit&redlink=1
Ryhope Engines Museum	in_Tyne_and_Wear	Other	/wiki/Ryhope_Engines_Museum
Segedunum Roman Fort, Baths and Museum	in_Tyne_and_Wear	Other	/wiki/Segedunum
Seven Stories	in_Tyne_and_Wear	Other	/wiki/Seven_Stories
Shipley Art Gallery	in_Tyne_and_Wear	Other	/wiki/Shipley_Art_Gallery
South Shields Museum & Art Gallery	in_Tyne_and_Wear	Other	/w/index.php?title=South_Shields_Museum_%26_Art_Gallery&action=edit&redlink=1
Souter Lighthouse	in_Tyne_and_Wear	Other	/wiki/Souter_Lighthouse
St. Mary's Lighthouse	in_Tyne_and_Wear	Other	/wiki/St._Mary%27s_Lighthouse
Stephenson Railway Museum	in_Tyne_and_Wear	Other	/wiki/Stephenson_Railway_Museum
Sunderland Museum and Winter Gardens	in_Tyne_and_Wear	Other	/wiki/Sunderland_Museum_and_Winter_Gardens
Tynemouth Castle and Priory	in_Tyne_and_Wear	Other	/wiki/Tynemouth_Castle_and_Priory
Tynemouth Life Brigade Watch House Museum	in_Tyne_and_Wear	Other	/w/index.php?title=Tynemouth_Life_Brigade_Watch_House_Museum&action=edit&redlink=1
Tynemouth Toy Museum	in_Tyne_and_Wear	Other	/w/index.php?title=Tynemouth_Toy_Museum&action=edit&redlink=1
Washington 'F' Pit	in_Tyne_and_Wear	Other	/wiki/Albany,_Tyne_and_Wear#Washington_'F'_Pit_museum
Washington Old Hall	in_Tyne_and_Wear	Other	/wiki/Washington_Old_Hall
