name	county	type	wikipedia_link
Anne Hathaway's Cottage	in_Warwickshire	Other	/wiki/Anne_Hathaway%27s_Cottage
Arbury Hall	in_Warwickshire	Other	/wiki/Arbury_Hall
Baddesley Clinton	in_Warwickshire	Other	/wiki/Baddesley_Clinton
Bedworth Heritage Centre	in_Warwickshire	Other	
Charlecote Park	in_Warwickshire	Other	/wiki/Charlecote_Park
Chilvers Coton Heritage Centre	in_Warwickshire	Other	
Compton Verney House	in_Warwickshire	Other	/wiki/Compton_Verney_House
Coughton Court	in_Warwickshire	Other	/wiki/Coughton_Court
Farnborough Hall	in_Warwickshire	Other	/wiki/Farnborough_Hall
Hall's Croft	in_Warwickshire	Other	/wiki/Hall%27s_Croft
Harvard House and the Museum of British Pewter	in_Warwickshire	Other	/wiki/Harvard_House
Henley-in-Arden Heritage Centre	in_Warwickshire	Other	
Heritage Motor Centre	in_Warwickshire	Other	/wiki/Heritage_Motor_Centre
Kenilworth Abbey Barn Museum	in_Warwickshire	Historic	
Kenilworth Castle & Elizabethan Garden	in_Warwickshire	Other	/wiki/Kenilworth_Castle
Lunt Roman Fort	in_Warwickshire	Other	/wiki/Lunt_Roman_Fort
Market Hall, Warwick	in_Warwickshire	Historic	/wiki/Market_Hall_Museum,_Warwick
Mary Arden's Farm / Palmer's Farm	in_Warwickshire	Other	/wiki/Mary_Arden%27s_Farm
Midland Air Museum	in_Warwickshire	Historic	/wiki/Midland_Air_Museum
Nash's House	in_Warwickshire	Local	/wiki/Nash%27s_House
Nuneaton Museum & Art Gallery	in_Warwickshire	Other	/wiki/Nuneaton_Museum_%26_Art_Gallery
Packwood House	in_Warwickshire	Other	/wiki/Packwood_House
Plantasia and Maze World	in_Warwickshire	Other	
Queen's Own Hussars Museum	in_Warwickshire	Other	/wiki/The_Queen%27s_Own_Hussars_Museum
Ragley Hall	in_Warwickshire	Other	/wiki/Ragley_Hall
Roman Alcester	in_Warwickshire	Other	
Royal Regiment of Fusiliers Museum (Royal Warwickshire)	in_Warwickshire	Other	/wiki/Royal_Regiment_of_Fusiliers_Museum_(Royal_Warwickshire)
Rugby Art Gallery and Museum	in_Warwickshire	Local	/wiki/Rugby_Art_Gallery_and_Museum
Rugby School Museum	in_Warwickshire	Other	/wiki/Rugby_School
Shakespeare's Birthplace	in_Warwickshire	Other	/wiki/Shakespeare%27s_Birthplace
Shakespeare's Schoolroom and Guildhall	in_Warwickshire	Other	
St John's House	in_Warwickshire	Other	/wiki/St_John%27s_House_Museum,_Warwick
Stoneleigh Abbey	in_Warwickshire	Other	/wiki/Stoneleigh_Abbey
Stratford Armouries	in_Warwickshire	Other	/wiki/Stratford_Armouries
Tudor World	in_Warwickshire	Other	
Upton House	in_Warwickshire	Other	/wiki/Upton_House,_Warwickshire
Warwick Castle	in_Warwickshire	Other	/wiki/Warwick_Castle
Webb Ellis Rugby Football Museum	in_Warwickshire	Other	/wiki/Webb_Ellis_Rugby_Football_Museum
Wellesbourne Wartime Museum	in_Warwickshire	Historic	/wiki/Wellesbourne_Wartime_Museum
Witchcraft and Wizardology Museum	in_Warwickshire	Other	/wiki/White_Lion_Inn,_Stratford-upon-Avon
