name	county	type	wikipedia_link
Abbey House Museum	in_West_Yorkshire	Other	/wiki/Abbey_House_Museum
Bagshaw Museum	in_West_Yorkshire	Other	/wiki/Bagshaw_Museum
Bankfield Museum	in_West_Yorkshire	Historic	/wiki/Bankfield_Museum
Batley Art Gallery	in_West_Yorkshire	Other	
Bolling Hall	in_West_Yorkshire	Other	/wiki/Bolling_Hall,_Bradford
Bracken Hall Countryside Centre and Museum	in_West_Yorkshire	Other	/wiki/Bracken_Hall_Countryside_Centre_and_Museum
Bradford Industrial Museum	in_West_Yorkshire	Other	/wiki/Bradford_Industrial_Museum
Bramham Park	in_West_Yorkshire	Other	/wiki/Bramham_Park
Brontë Parsonage Museum	in_West_Yorkshire	Other	/wiki/Bront%C3%AB_Parsonage_Museum
Bullecourt Museum	in_West_Yorkshire	Other	
Cartwright Hall	in_West_Yorkshire	Other	/wiki/Cartwright_Hall
Castleford Forum Museum	in_West_Yorkshire	Other	/w/index.php?title=Castleford_Forum_Museum&action=edit&redlink=1
Cliffe Castle Museum	in_West_Yorkshire	Other	/wiki/Cliffe_Castle_Museum
Colne Valley Museum	in_West_Yorkshire	Other	/wiki/Colne_Valley_Museum
Colour Experience	in_West_Yorkshire	Other	/wiki/Colour_Experience
David Brown Tractor Club Museum	in_West_Yorkshire	Other	
Dean Clough	in_West_Yorkshire	Other	/wiki/Dean_Clough
Dewsbury Bus Museum	in_West_Yorkshire	Other	
Dewsbury Minster	in_West_Yorkshire	Other	/wiki/Dewsbury_Minster
Dewsbury Museum	in_West_Yorkshire	Other	/w/index.php?title=Dewsbury_Museum&action=edit&redlink=1
East Riddlesden Hall	in_West_Yorkshire	Other	/wiki/East_Riddlesden_Hall
Eureka! The National Children's Museum	in_West_Yorkshire	Other	/wiki/Eureka!_(museum)
Fulneck Moravian Museum	in_West_Yorkshire	Other	
Gallery II	in_West_Yorkshire	Other	
Gissing Centre	in_West_Yorkshire	Other	
Gibson Mill	in_West_Yorkshire	Other	/wiki/Hardcastle_Crags
Harewood House	in_West_Yorkshire	Other	/wiki/Harewood_House
Henry Moore Institute in Leeds	in_West_Yorkshire	Other	/wiki/Henry_Moore_Foundation
Heptonstall Museum	in_West_Yorkshire	Other	
The Hepworth Wakefield	in_West_Yorkshire	Other	/wiki/The_Hepworth_Wakefield
Horsforth Village Museum	in_West_Yorkshire	Other	
Huddersfield Art Gallery	in_West_Yorkshire	Other	/wiki/Huddersfield_Art_Gallery
Ilkley Toy Museum	in_West_Yorkshire	Other	/wiki/Ilkley_Toy_Museum
Ingrow Loco	in_West_Yorkshire	Other	
Keighley Police Museum	in_West_Yorkshire	Other	
Keighley and Worth Valley Railway	in_West_Yorkshire	Other	/wiki/Keighley_and_Worth_Valley_Railway
Kirkstall Abbey	in_West_Yorkshire	Other	/wiki/Kirkstall_Abbey
Last of The Summer Wine Exhibition	in_West_Yorkshire	Other	/w/index.php?title=Last_of_The_Summer_Wine_Exhibition&action=edit&redlink=1
Launds Inn Museum	in_West_Yorkshire	Other	
Leeds Art Gallery	in_West_Yorkshire	Other	/wiki/Leeds_Art_Gallery
Leeds City Museum	in_West_Yorkshire	Local	/wiki/Leeds_City_Museum
Leeds College of Art	in_West_Yorkshire	Other	/wiki/Leeds_College_of_Art
Leeds Industrial Museum at Armley Mills	in_West_Yorkshire	Other	/wiki/Leeds_Industrial_Museum_at_Armley_Mills
Lotherton Hall	in_West_Yorkshire	Other	/wiki/Lotherton_Hall
Manor House Museum	in_West_Yorkshire	Local	/wiki/Manor_House_Museum
Mental Health Museum	in_West_Yorkshire	Historic	/wiki/Fieldhead_Hospital
Middleton Railway Museum	in_West_Yorkshire	Other	/wiki/Middleton_Railway
Museum of Rail Travel	in_West_Yorkshire	Historic	/wiki/Museum_of_Rail_Travel
Museum of the History of Science, Technology and Medicine	in_West_Yorkshire	Other	
