name	county	type	wikipedia_link
Bembridge Heritage Centre	on_the_Isle_of_Wight	Other	
Bembridge Windmill	on_the_Isle_of_Wight	Other	/wiki/Bembridge_Windmill
Blackgang Chine	on_the_Isle_of_Wight	Other	/wiki/Blackgang_Chine
Brading Roman Villa	on_the_Isle_of_Wight	Other	/wiki/Brading_Roman_Villa
Brighstone Village Museum	on_the_Isle_of_Wight	Other	
Calbourne Water Mill	on_the_Isle_of_Wight	Other	/w/index.php?title=Calbourne_Water_Mill&action=edit&redlink=1
Carisbrooke Castle	on_the_Isle_of_Wight	Other	/wiki/Carisbrooke_Castle
Classic Boat Museum	on_the_Isle_of_Wight	Historic	/wiki/Classic_Boat_Museum
Conflict, History and Remembrance Museum	on_the_Isle_of_Wight	Other	/w/index.php?title=Conflict,_History_and_Remembrance_Museum&action=edit&redlink=1
Cowes Maritime Museum	on_the_Isle_of_Wight	Other	/wiki/Cowes_Maritime_Museum
Dimbola Lodge	on_the_Isle_of_Wight	Arts	/wiki/Dimbola_Lodge
Dinosaur Expeditions, Conservation and Palaeoart Centre	on_the_Isle_of_Wight	Other	
Dinosaur Isle	on_the_Isle_of_Wight	Other	/wiki/Dinosaur_Isle
East Cowes Heritage Centre	on_the_Isle_of_Wight	Other	
Ferguson Family Museum	on_the_Isle_of_Wight	Other	
Fort Victoria Model Railway	on_the_Isle_of_Wight	Other	
Isle of Wight Bus & Coach Museum	on_the_Isle_of_Wight	Other	/wiki/Isle_of_Wight_Bus_%26_Coach_Museum
Isle of Wight Natural History Centre	on_the_Isle_of_Wight	Other	
Isle of Wight Postal Museum	on_the_Isle_of_Wight	Other	
Isle of Wight Steam Railway	on_the_Isle_of_Wight	Other	/wiki/Isle_of_Wight_Steam_Railway
Lilliput Antique Doll and Toy Museum	on_the_Isle_of_Wight	Other	
Museum of Island History	on_the_Isle_of_Wight	Other	
Needles Battery	on_the_Isle_of_Wight	Other	/wiki/The_Needles_Batteries
Newport Roman Villa	on_the_Isle_of_Wight	Other	/wiki/Newport_Roman_Villa
Newtown Old Town Hall	on_the_Isle_of_Wight	Other	/wiki/Newtown_Old_Town_Hall
Nunwell House	on_the_Isle_of_Wight	Other	/wiki/Nunwell_House
Osborne House	on_the_Isle_of_Wight	Other	/wiki/Osborne_House
Quay Arts Centre	on_the_Isle_of_Wight	Other	/wiki/The_Quay_Arts
Shipwreck Centre and Maritime Museum	on_the_Isle_of_Wight	Other	
Sir Max Aitken Museum	on_the_Isle_of_Wight	Other	/w/index.php?title=Sir_Max_Aitken_Museum&action=edit&redlink=1
St. Catherine's Lighthouse	on_the_Isle_of_Wight	Other	/wiki/St._Catherine%27s_Lighthouse
Sunken Secrets	on_the_Isle_of_Wight	Other	/wiki/Sunken_Secrets
Ventnor Heritage Museum	on_the_Isle_of_Wight	Other	
Wight Military and Heritage Museum	on_the_Isle_of_Wight	Other	
Yarmouth Castle	on_the_Isle_of_Wight	Other	/wiki/Yarmouth_Castle
