postcode,postcode_status,LSOA_code,LSOA_name,index_of_multiple_deprivation_rank int,index_of_multiple_deprivation_decile
GL50 1AA,Terminated,E01022153,Cheltenham 004D E01022153,6686,3
GL50 1AD,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1AE,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1AF,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1AP,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1AZ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1BA,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1BB,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1DA,Terminated,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DB,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DD,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DE,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DF,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DG,Terminated,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DH,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1DJ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1DL,Terminated,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DN,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1DP,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DQ,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DR,Terminated,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1DT,Terminated,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1DU,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DW,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DX,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DY,Live,E01022102,Cheltenham 008C E01022102,12035,4
GL50 1DZ,Live,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1EA,Terminated,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1EB,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ED,Terminated,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1EE,Live,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1EF,Live,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1EG,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1EH,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1EJ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1EL,Live,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1EN,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1EP,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1EQ,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1ER,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1ES,Terminated,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1ET,Terminated,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1EU,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1EW,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1EX,Terminated,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1HA,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1HB,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
