name	county	type	wikipedia_link
Art Exchange	in_Essex	Arts	/w/index.php?title=Art_Exchange&action=edit&redlink=1
Ashdon Museum	in_Essex	Local	/w/index.php?title=Ashdon_Museum&action=edit&redlink=1
Audley End House	in_Essex	Historic	/wiki/Audley_End_House
Aythorpe Roding Windmill	in_Essex	Industrial	/wiki/Aythorpe_Roding_Windmill
Barleylands Farm Museum	in_Essex	Local	/wiki/Barleylands_Farm_Museum
Beecroft Art Gallery	in_Essex	Arts	/wiki/Beecroft_Art_Gallery
Bocking Windmill	in_Essex	Industrial	/wiki/Bocking_Windmill
Bourne Mill, Essex	in_Essex	Industrial	/w/index.php?title=Bourne_Mill,_Essex&action=edit&redlink=1
Boxted Airfield Museum	in_Essex	Other	/w/index.php?title=Boxted_Airfield_Museum&action=edit&redlink=1
Bragg's Mill	in_Essex	Industrial	/wiki/Bragg%27s_Mill,_Ashdon
Braintree Museum	in_Essex	Multiple	/w/index.php?title=Braintree_Museum&action=edit&redlink=1
Brentwood Museum	in_Essex	Local	
Brightlingsea Museum	in_Essex	Local	
Burnham-on-Crouch & District Museum	in_Essex	Local	/wiki/Burnham-on-Crouch_%26_District_Museum
Canvey Island Heritage Centre	in_Essex	Local	
Canvey Island Transport Museum	in_Essex	Transport	
Cater Museum	in_Essex	Local	/w/index.php?title=Cater_Museum&action=edit&redlink=1
Chelmsford Museum	in_Essex	Multiple	/wiki/Chelmsford_Museums
Coalhouse Fort	in_Essex	Other	/wiki/Coalhouse_Fort
Coggeshall Grange Barn	in_Essex	Local	/wiki/Coggeshall_Grange_Barn
Coggeshall Museum	in_Essex	Local	
Colchester Castle Museum	in_Essex	Historic	/wiki/Colchester_Castle
Colne Valley Postal History Museum	in_Essex	Other	
Colne Valley Railway	in_Essex	Transport	/wiki/Colne_Valley_Railway
Combined Military Services Museum	in_Essex	Other	/wiki/Combined_Military_Services_Museum
Copped Hall	in_Essex	Historic	/wiki/Copped_Hall
Cressing Temple	in_Essex	Historic	/wiki/Cressing_Temple
Duck End Mill	in_Essex	Industrial	/wiki/Duck_End_Mill,_Finchingfield
Dutch Cottage Museum	in_Essex	Historic	
Earls Colne Heritage Museum	in_Essex	Local	
East Anglian Railway Museum	in_Essex	Transport	/wiki/East_Anglian_Railway_Museum
