name	county	type	wikipedia_link
Agricultural Museum, Brook	in_Kent	Local	/w/index.php?title=Agricultural_Museum,_Brook&action=edit&redlink=1
Ashford Museum	in_Kent	Local	/w/index.php?title=Ashford_Museum&action=edit&redlink=1
Beaney House of Art and Knowledge	in_Kent	Multiple	/wiki/Beaney_House_of_Art_and_Knowledge
Belmont House and Gardens	in_Kent	Historic	/wiki/Belmont_House_and_Gardens
Blue Town Heritage Centre	in_Kent	Local	
Brattle Farm Museum	in_Kent	Local	
Bredgar and Wormshill Light Railway	in_Kent	Transport	/wiki/Bredgar_and_Wormshill_Light_Railway
British Cartoon Archive	in_Kent	Arts	/wiki/British_Cartoon_Archive
Canterbury Heritage Museum	in_Kent	Multiple	/wiki/Canterbury_Heritage_Museum
Canterbury Roman Museum	in_Kent	Historic	/wiki/Canterbury_Roman_Museum
Chantry Heritage Centre	in_Kent	Local	
Chart Gunpowder Mills	in_Kent	Industrial	/wiki/Faversham_explosives_industry
Chartwell	in_Kent	Historic	/wiki/Chartwell
Chatham Historic Dockyard	in_Kent	Transport	/wiki/Chatham_Historic_Dockyard
Chiddingstone Castle	in_Kent	Multiple	/wiki/Chiddingstone_Castle
Chillenden Windmill	in_Kent	Industrial	/wiki/Chillenden_Windmill
C M Booth Motor Museum	in_Kent	Transport	/w/index.php?title=C_M_Booth_Motor_Museum&action=edit&redlink=1
Colonel Stephens Railway Museum	in_Kent	Transport	/wiki/Kent_and_East_Sussex_Railway#Colonel_Stephens_Railway_Museum
Court Hall Museum	in_Kent	Local	
Crabble Corn Mill	in_Kent	Industrial	/wiki/Crabble_Corn_Mill
Crampton Tower Museum	in_Kent	Multiple	
Cranbrook Museum	in_Kent	Local	
Dartford Borough Museum	in_Kent	Local	/w/index.php?title=Dartford_Borough_Museum&action=edit&redlink=1
Deal Castle	in_Kent	Other	/wiki/Deal_Castle
Deal Maritime & Local History Museum	in_Kent	Multiple	/w/index.php?title=Deal_Maritime_%26_Local_History_Museum&action=edit&redlink=1
Deal Timeball Tower Museum	in_Kent	Transport	/wiki/Deal_Timeball
Dickens House Museum	in_Kent	Local	
Dover Castle	in_Kent	Multiple	/wiki/Dover_Castle
Dover Museum	in_Kent	Multiple	/wiki/Dover_Museum,_England
Dover Transport Museum	in_Kent	Transport	/w/index.php?title=Dover_Transport_Museum&action=edit&redlink=1
Draper's Windmill	in_Kent	Industrial	/wiki/Draper%27s_Mill,_Margate
Dungeness Lighthouse	in_Kent	Transport	/wiki/Dungeness_Lighthouse
Dymchurch Martello Tower	in_Kent	Other	/wiki/Dymchurch_Martello_Tower
