name	county	type	wikipedia_link
Aldborough Roman Site	in_North_Yorkshire	Historic	/wiki/Isurium_Brigantum
Bar Convent	in_North_Yorkshire	Other	/wiki/Bar_Convent
Barley Hall	in_North_Yorkshire	Historic	/wiki/Barley_Hall
Beck Isle Museum	in_North_Yorkshire	Historic	/wiki/Beck_Isle_Museum
Bedale Museum	in_North_Yorkshire	Local	
Beningbrough Hall	in_North_Yorkshire	Historic	/wiki/Beningbrough_Hall
Bolton Castle	in_North_Yorkshire	Historic	/wiki/Bolton_Castle
Captain Cook & Staithes Heritage Centre	in_North_Yorkshire	Local	/w/index.php?title=Captain_Cook_%26_Staithes_Heritage_Centre&action=edit&redlink=1
Captain Cook Birthplace Museum	in_North_Yorkshire	Local	/wiki/Captain_Cook_Birthplace_Museum
Captain Cook Memorial Museum	in_North_Yorkshire	Historic	/wiki/Captain_Cook_Memorial_Museum
Captain Cook Schoolroom Museum	in_North_Yorkshire	Other	/w/index.php?title=Captain_Cook_Schoolroom_Museum&action=edit&redlink=1
Castle Howard	in_North_Yorkshire	Historic	/wiki/Castle_Howard
Cleveland Ironstone Mining Museum	in_North_Yorkshire	Industrial	/w/index.php?title=Cleveland_Ironstone_Mining_Museum&action=edit&redlink=1
Courthouse Museum	in_North_Yorkshire	Local	/w/index.php?title=Courthouse_Museum&action=edit&redlink=1
Craven Museum & Gallery	in_North_Yorkshire	Multiple	/wiki/Craven_Museum_%26_Gallery
Dales Countryside Museum	in_North_Yorkshire	Local	/wiki/Dales_Countryside_Museum
DIG: an archaeological adventure	in_North_Yorkshire	Historic	/wiki/DIG:_an_archaeological_adventure
Dorman Museum	in_North_Yorkshire	Local	/wiki/Dorman_Museum
Eden Camp Modern History Theme Museum	in_North_Yorkshire	Other	/wiki/Eden_Camp_Museum
Fairfax House	in_North_Yorkshire	Historic	/wiki/Fairfax_House
Filey Museum	in_North_Yorkshire	Local	
Fountains Abbey and Studley Royal	in_North_Yorkshire	Multiple	/wiki/Fountains_Abbey
Gayle Mill	in_North_Yorkshire	Other	/wiki/Gayle_Mill,_North_Yorkshire
Grassington Folk Museum	in_North_Yorkshire	Historic	
Green Howards Regimental Museum	in_North_Yorkshire	Other	/wiki/Green_Howards_Regimental_Museum
Guisborough Museum	in_North_Yorkshire	Local	
Henry VII Experience at Micklegate Bar	in_North_Yorkshire	Historic	/w/index.php?title=Henry_VII_Experience_at_Micklegate_Bar&action=edit&redlink=1
Holgate Windmill	in_North_Yorkshire	Industrial	/wiki/Holgate_Windmill
Hovingham Hall	in_North_Yorkshire	Historic	/wiki/Hovingham_Hall
Jorvik Viking Centre	in_North_Yorkshire	Historic	/wiki/Jorvik_Viking_Centre
Kiplin Hall	in_North_Yorkshire	Historic	/wiki/Kiplin_Hall
Kirkleatham Museum	in_North_Yorkshire	Multiple	/wiki/Kirkleatham_Museum
Knaresborough Castle	in_North_Yorkshire	Historic	/wiki/Knaresborough_Castle
Kohima Museum	in_North_Yorkshire	Other	
Malton Museum	in_North_Yorkshire	Historic	
Mansion House	in_North_Yorkshire	Historic	/wiki/Mansion_House,_York
Markenfield Hall	in_North_Yorkshire	Historic	/wiki/Markenfield_Hall
Mercer Art Gallery	in_North_Yorkshire	Arts	/w/index.php?title=Mercer_Art_Gallery&action=edit&redlink=1
Merchant Adventurers' Hall	in_North_Yorkshire	Historic	/wiki/Merchant_Adventurers%27_Hall
Middlesbrough Institute of Modern Art	in_North_Yorkshire	Arts	/wiki/Middlesbrough_Institute_of_Modern_Art
Moulton Hall	in_North_Yorkshire	Historic	/wiki/Moulton_Hall
Museum of Victorian Science	in_North_Yorkshire	Other	
National Railway Museum	in_North_Yorkshire	Transport	/wiki/National_Railway_Museum
Newby Hall	in_North_Yorkshire	Historic	/wiki/Newby_Hall
Newham Grange Leisure Farm	in_North_Yorkshire	Local	/wiki/Newham_Grange_Leisure_Farm
Nidderdale Museum	in_North_Yorkshire	Historic	/wiki/Nidderdale_Museum
North Yorkshire Moors Railway	in_North_Yorkshire	Other	/wiki/North_Yorkshire_Moors_Railway
North Yorkshire Motor Museum	in_North_Yorkshire	Transport	
Nunnington Hall	in_North_Yorkshire	Historic	/wiki/Nunnington_Hall
Ormesby Hall	in_North_Yorkshire	Historic	/wiki/Ormesby_Hall
Prince of Wales's Own Regiment of Yorkshire Museum	in_North_Yorkshire	Other	/wiki/Prince_of_Wales%27s_Own_Regiment_of_Yorkshire
Prison & Police Museum	in_North_Yorkshire	Local	/w/index.php?title=Prison_%26_Police_Museum&action=edit&redlink=1
Queen's Own Yorkshire Yeomanry Museum	in_North_Yorkshire	Other	
Quilt Museum and Gallery	in_North_Yorkshire	Arts	/wiki/Quilt_Museum_and_Gallery
Richard III Experience at Monk Bar	in_North_Yorkshire	Local	/wiki/Richard_III_Experience_at_Monk_Bar
Richmondshire Museum	in_North_Yorkshire	Local	/wiki/Richmondshire_Museum
Robin Hood's Bay and Fylingdales Museum	in_North_Yorkshire	Local	
Royal Dragoon Guards Museum	in_North_Yorkshire	Other	/wiki/Royal_Dragoon_Guards
Royal Pump Room Museum	in_North_Yorkshire	Local	/wiki/Royal_Pump_Room,_Harrogate
Rotunda Museum	in_North_Yorkshire	Other	/wiki/Rotunda_Museum
Ryedale Folk Museum	in_North_Yorkshire	Other	/wiki/Ryedale_Folk_Museum
Scampston Hall	in_North_Yorkshire	Historic	/wiki/Scampston_Hall
