name	county	type	wikipedia_link
Alnwick Castle	in_Northumberland	Multiple	/wiki/Alnwick_Castle
Armstrong's Household and Farming Museum	in_Northumberland	Historic	
Aydon Castle	in_Northumberland	Historic	/wiki/Aydon_Castle
Bailiffgate Museum	in_Northumberland	Local	/wiki/Bailiffgate_Museum
Bamburgh Castle	in_Northumberland	Historic	/wiki/Bamburgh_Castle
Bellingham Heritage Centre	in_Northumberland	Local	/w/index.php?title=Bellingham_Heritage_Centre&action=edit&redlink=1
Belsay Castle	in_Northumberland	Historic	/wiki/Belsay_Castle
Belsay Hall	in_Northumberland	Historic	/wiki/Belsay_Hall
Berwick Gymnasium Gallery	in_Northumberland	Arts	/w/index.php?title=Berwick_Gymnasium_Gallery&action=edit&redlink=1
Berwick Museum & Art Gallery	in_Northumberland	Multiple	/w/index.php?title=Berwick_Museum_%26_Art_Gallery&action=edit&redlink=1
Blyth Battery	in_Northumberland	Other	
Cherryburn	in_Northumberland	Historic	/wiki/Cherryburn
Chillingham Castle	in_Northumberland	Historic	/wiki/Chillingham_Castle
Chesters Roman Fort	in_Northumberland	Historic	/wiki/Cilurnum
Corbridge Roman Site	in_Northumberland	Historic	/wiki/Coria_(Corbridge)
Cragside	in_Northumberland	Historic	/wiki/Cragside
Fusiliers Museum of Northumberland	in_Northumberland	Other	/wiki/Fusiliers_Museum_of_Northumberland
George Stephenson's Birthplace	in_Northumberland	Historic	/wiki/George_Stephenson%27s_Birthplace
Grace Darling Museum	in_Northumberland	Local	/w/index.php?title=Grace_Darling_Museum&action=edit&redlink=1
Heatherslaw Mill	in_Northumberland	Industrial	/wiki/Heatherslaw_Mill
Hexham Old Gaol	in_Northumberland	Local	/wiki/Hexham_Old_Gaol
Housesteads Roman Fort	in_Northumberland	Historic	/wiki/Vercovicium
Kielder Castle Visitor Centre	in_Northumberland	Multiple	/wiki/Kielder_Forest
Kielder Salmon Centre	in_Northumberland	Other	
King’s Own Scottish Borderers Regimental Museum	in_Northumberland	Other	/wiki/King%27s_Own_Scottish_Borderers
Lady Waterford Hall	in_Northumberland	Arts	/wiki/Lady_Waterford_Hall
Lindisfarne Castle	in_Northumberland	Historic	/wiki/Lindisfarne_Castle
Lindisfarne Centre	in_Northumberland	Local	/w/index.php?title=Lindisfarne_Centre&action=edit&redlink=1
Lindisfarne Priory	in_Northumberland	Other	/wiki/Lindisfarne_Priory
Longstone Lighthouse	in_Northumberland	Transport	/wiki/Longstone_Lighthouse
Morpeth Chantry Bagpipe Museum	in_Northumberland	Other	/wiki/Morpeth_Chantry_Bagpipe_Museum
Preston Tower	in_Northumberland	Other	/wiki/Preston_Tower_(Northumberland)
Seaton Delaval Hall	in_Northumberland	Historic	/wiki/Seaton_Delaval_Hall
Vindolanda	in_Northumberland	Historic	/wiki/Vindolanda
Wallington Hall	in_Northumberland	Historic	/wiki/Wallington_Hall
Warkworth Castle	in_Northumberland	Historic	/wiki/Warkworth_Castle
Watch House Museum	in_Northumberland	Local	
Wylam Railway Museum	in_Northumberland	Transport	
Woodhorn Museum	in_Northumberland	Industrial	/wiki/Woodhorn_(Museum)
