name	county	type	wikipedia_link
Aldeburgh Museum	in_Suffolk	Local	/w/index.php?title=Aldeburgh_Museum&action=edit&redlink=1
Alfred Corry Lifeboat Museum	in_Suffolk	Transport	
Amber Shop and Museum	in_Suffolk	Other	
The Apex	in_Suffolk	Arts	/w/index.php?title=The_Apex&action=edit&redlink=1
Bardwell Windmill	in_Suffolk	Industrial	/wiki/Bardwell_Windmill
Bawdsey Manor	in_Suffolk	Other	/wiki/Bawdsey_Manor
Beccles & District Museum	in_Suffolk	Local	
Bentwaters Cold War Museum	in_Suffolk	Other	/wiki/Bentwaters_Cold_War_Museum
Brandon Heritage Centre	in_Suffolk	Local	
Bungay Museum	in_Suffolk	Local	
Buttrum's Mill	in_Suffolk	Industrial	/wiki/Buttrum%27s_Mill,_Woodbridge
Christchurch Mansion	in_Suffolk	Multiple	/wiki/Christchurch_Mansion
Clare Ancient House Museum	in_Suffolk	Local	/wiki/Ancient_House,_Clare
Clifford Road Air Raid Shelter	in_Suffolk	Historic	/wiki/Clifford_Road_Air_Raid_Shelter
Dunwich Museum	in_Suffolk	Local	
East Anglia Transport Museum	in_Suffolk	Transport	/wiki/East_Anglia_Transport_Museum
Easton Farm Park	in_Suffolk	Other	
Euston Hall	in_Suffolk	Historic	/wiki/Euston_Hall
Felixstowe Museum	in_Suffolk	Multiple	/wiki/Landguard_Fort#Felixstowe_Museum
Flatford: Bridge Cottage	in_Suffolk	Historic	/wiki/Bridge_Cottage
Framlingham Castle	in_Suffolk	Historic	/wiki/Framlingham_Castle
Gainsborough's House	in_Suffolk	Arts	/wiki/Gainsborough%27s_House
Greene King Visitor Centre	in_Suffolk	Other	/wiki/Greene_King_Brewery
Halesworth Museum	in_Suffolk	Local	
Haverhill Local History Centre	in_Suffolk	Local	
Herringfleet Windmill	in_Suffolk	Industrial	/wiki/Herringfleet_Windmill
HMS Ganges Museum	in_Suffolk	Transport	
Ickworth House, Park & Garden	in_Suffolk	Historic	/wiki/Ickworth_House
Ipswich Art School Gallery	in_Suffolk	Arts	
Ipswich Maritime Trust Window Museum	in_Suffolk	Transport	
