name	county	type	wikipedia_link
Anne Hathaway's Cottage	in_Warwickshire	Historic	/wiki/Anne_Hathaway%27s_Cottage
Arbury Hall	in_Warwickshire	Historic	/wiki/Arbury_Hall
Baddesley Clinton	in_Warwickshire	Historic	/wiki/Baddesley_Clinton
Bedworth Heritage Centre	in_Warwickshire	Local	
Charlecote Park	in_Warwickshire	Historic	/wiki/Charlecote_Park
Chilvers Coton Heritage Centre	in_Warwickshire	Local	
Compton Verney House	in_Warwickshire	Arts	/wiki/Compton_Verney_House
Coughton Court	in_Warwickshire	Historic	/wiki/Coughton_Court
Farnborough Hall	in_Warwickshire	Historic	/wiki/Farnborough_Hall
Hall's Croft	in_Warwickshire	Historic	/wiki/Hall%27s_Croft
Harvard House and the Museum of British Pewter	in_Warwickshire	Arts	/wiki/Harvard_House
Henley-in-Arden Heritage Centre	in_Warwickshire	Local	
Heritage Motor Centre	in_Warwickshire	Transport	/wiki/Heritage_Motor_Centre
Kenilworth Abbey Barn Museum	in_Warwickshire	Local	
Kenilworth Castle & Elizabethan Garden	in_Warwickshire	Historic	/wiki/Kenilworth_Castle
Lunt Roman Fort	in_Warwickshire	Historic	/wiki/Lunt_Roman_Fort
Market Hall, Warwick	in_Warwickshire	Multiple	/wiki/Market_Hall_Museum,_Warwick
Mary Arden's Farm / Palmer's Farm	in_Warwickshire	Historic	/wiki/Mary_Arden%27s_Farm
Midland Air Museum	in_Warwickshire	Transport	/wiki/Midland_Air_Museum
Nash's House	in_Warwickshire	Historic	/wiki/Nash%27s_House
Nuneaton Museum & Art Gallery	in_Warwickshire	Multiple	/wiki/Nuneaton_Museum_%26_Art_Gallery
Packwood House	in_Warwickshire	Historic	/wiki/Packwood_House
Plantasia and Maze World	in_Warwickshire	Other	
Queen's Own Hussars Museum	in_Warwickshire	Other	/wiki/The_Queen%27s_Own_Hussars_Museum
Ragley Hall	in_Warwickshire	Historic	/wiki/Ragley_Hall
Roman Alcester	in_Warwickshire	Historic	
Royal Regiment of Fusiliers Museum (Royal Warwickshire)	in_Warwickshire	Other	/wiki/Royal_Regiment_of_Fusiliers_Museum_(Royal_Warwickshire)
Rugby Art Gallery and Museum	in_Warwickshire	Multiple	/wiki/Rugby_Art_Gallery_and_Museum
Rugby School Museum	in_Warwickshire	Other	/wiki/Rugby_School
Shakespeare's Birthplace	in_Warwickshire	Historic	/wiki/Shakespeare%27s_Birthplace
Shakespeare's Schoolroom and Guildhall	in_Warwickshire	Historic	
St John's House	in_Warwickshire	Historic	/wiki/St_John%27s_House_Museum,_Warwick
Stoneleigh Abbey	in_Warwickshire	Historic	/wiki/Stoneleigh_Abbey
Stratford Armouries	in_Warwickshire	Other	/wiki/Stratford_Armouries
Tudor World	in_Warwickshire	Historic	
Upton House	in_Warwickshire	Historic	/wiki/Upton_House,_Warwickshire
Warwick Castle	in_Warwickshire	Historic	/wiki/Warwick_Castle
Webb Ellis Rugby Football Museum	in_Warwickshire	Other	/wiki/Webb_Ellis_Rugby_Football_Museum
Wellesbourne Wartime Museum	in_Warwickshire	Transport	/wiki/Wellesbourne_Wartime_Museum
Witchcraft and Wizardology Museum	in_Warwickshire	Historic	/wiki/White_Lion_Inn,_Stratford-upon-Avon
