name	county	type	wikipedia_link
Arctic Corsair	in_the_East_Riding_of_Yorkshire	Transport	/wiki/Arctic_Corsair
Bayle Museum	in_the_East_Riding_of_Yorkshire	Local	/w/index.php?title=Bayle_Museum&action=edit&redlink=1
Beverley Guildhall	in_the_East_Riding_of_Yorkshire	Historic	/w/index.php?title=Beverley_Guildhall&action=edit&redlink=1
Bondville Model Village	in_the_East_Riding_of_Yorkshire	Historic	
Breighton Aerodrome	in_the_East_Riding_of_Yorkshire	Transport	
Bridlington Harbour Heritage Museum	in_the_East_Riding_of_Yorkshire	Transport	
Burton Agnes Hall	in_the_East_Riding_of_Yorkshire	Historic	/wiki/Burton_Agnes_Hall
Burton Constable Hall	in_the_East_Riding_of_Yorkshire	Historic	/wiki/Burton_Constable_Hall
Dinostar	in_the_East_Riding_of_Yorkshire	Other	
Ferens Art Gallery	in_the_East_Riding_of_Yorkshire	Arts	/wiki/Ferens_Art_Gallery
Flamborough Head Lighthouse	in_the_East_Riding_of_Yorkshire	Transport	/wiki/Flamborough_Head_Lighthouse
Fort Paull	in_the_East_Riding_of_Yorkshire	Other	/wiki/Fort_Paull
Goole Museum	in_the_East_Riding_of_Yorkshire	Multiple	
Hands on History Museum	in_the_East_Riding_of_Yorkshire	Local	
Hedon Museum	in_the_East_Riding_of_Yorkshire	Local	
Holderness museums	in_the_East_Riding_of_Yorkshire	Local	/wiki/Holderness_museums
Hornsea Museum	in_the_East_Riding_of_Yorkshire	Multiple	/wiki/Hornsea_Museum
Hull and East Riding Museum	in_the_East_Riding_of_Yorkshire	Historic	/w/index.php?title=Hull_and_East_Riding_Museum&action=edit&redlink=1
Hull Maritime Museum	in_the_East_Riding_of_Yorkshire	Transport	/wiki/Hull_Maritime_Museum
Marshall's Humber Car Museum	in_the_East_Riding_of_Yorkshire	Transport	/w/index.php?title=Marshall%27s_Humber_Car_Museum&action=edit&redlink=1
RAF Holmpton	in_the_East_Riding_of_Yorkshire	Other	/wiki/RAF_Holmpton
Sewerby Hall	in_the_East_Riding_of_Yorkshire	Multiple	/wiki/Sewerby_Hall
Skidby Windmill	in_the_East_Riding_of_Yorkshire	Multiple	/wiki/Skidby_Windmill
Sledmere House	in_the_East_Riding_of_Yorkshire	Historic	/wiki/Sledmere_House
Southburn Archaeological Museum	in_the_East_Riding_of_Yorkshire	Historic	/w/index.php?title=Southburn_Archaeological_Museum&action=edit&redlink=1
Spurn Lightship	in_the_East_Riding_of_Yorkshire	Transport	/wiki/Spurn_Lightship
Stewart’s Burnby Hall Gardens and Museum	in_the_East_Riding_of_Yorkshire	Multiple	/wiki/Burnby_Hall_Gardens
Streetlife Museum of Transport	in_the_East_Riding_of_Yorkshire	Transport	/wiki/Streetlife_Museum_of_Transport
Treasure House	in_the_East_Riding_of_Yorkshire	Multiple	/wiki/The_Beverley_Treasure_House
Wilberforce House	in_the_East_Riding_of_Yorkshire	Historic	/wiki/Wilberforce_House
Withernsea Lighthouse Museum	in_the_East_Riding_of_Yorkshire	Local	/wiki/Withernsea_Lighthouse
Yorkshire Waterways Museum	in_the_East_Riding_of_Yorkshire	Transport	/wiki/Yorkshire_Waterways_Museum
