name	link	type	icon	lat	lng	county
Abbey Pumping Station	Abbey_Pumping_Station	Other	measle_white	52.655	-1.13055555556	Leicestershire
Ashby de la Zouch Museum	Ashby_de_la_Zouch_Museum	Local	small_purple	0.0	0.0	Leicestershire
Belgrave Hall	Belgrave_Hall	Historic	small_green	52.6588888889	-1.12488888889	Leicestershire
Belvoir Castle	Belvoir_Castle	Historic	small_green	52.8945	-0.78256	Leicestershire
Bosworth Battlefield Heritage Centre and Country Park	Bosworth_Battlefield	Other	measle_white	52.5911111111	-1.41027777778	Leicestershire
Bruntingthorpe Aerodrome Aircraft Museum	Bruntingthorpe_Aerodrome	Transport	small_yellow	52.4869444444	-1.13055555556	Leicestershire
Charnwood Museum	Charnwood_Museum	Local	small_purple	52.7705694444	-1.21080555556	Leicestershire
City Gallery	City_Gallery	Arts	small_blue	52.6328	-1.1284	Leicestershire
Castle Donington Museum	Castle_Donington_Museum	Local	small_purple	0.0	0.0	Leicestershire
CONKERS	CONKERS	Other	measle_white	0.0	0.0	Leicestershire
Donington Grand Prix Exhibition	Donington_Grand_Prix_Exhibition	Transport	small_yellow	52.8272222222	-1.36611111111	Leicestershire
Donington le Heath Manor House Museum	Donington_le_Heath_Manor_House_Museum	Historic	small_green	52.6430638889	-1.12060555556	Leicestershire
East Midlands Aeropark	East_Midlands_Airport#East_Midlands_Aeropark	Transport	small_yellow	52.8311111111	-1.32805555556	Leicestershire
Foxton Canal Museum	Foxton_Locks#Foxton_Canal_Museum	Transport	small_yellow	52.4998	-0.983	Leicestershire
Fleckney Museum	Fleckney_Museum	Local	small_purple	0.0	0.0	Leicestershire
Guru Nanak Sikh Museum	Guru_Nanak_Sikh_Museum	Other	measle_white	0.0	0.0	Leicestershire
Hallaton Museum	Hallaton_Museum	Local	small_purple	0.0	0.0	Leicestershire
Harborough Museum	Harborough_Museum	Local	small_purple	52.4786805556	-0.920675	Leicestershire
Hinckley and District Museum	Hinckley_and_District_Museum	Local	small_purple	0.0	0.0	Leicestershire
Jewry Wall Museum	Jewry_Wall	Historic	small_green	52.6349194444	-1.141425	Leicestershire
John Taylor &amp; Co	John_Taylor_&_Co	Other	measle_white	52.7731777778	-1.19891666667	Leicestershire
Kegworth Museum	Kegworth_Museum	Local	small_purple	0.0	0.0	Leicestershire
Leicester City Fire Brigade Museum	Leicester_City_Fire_Brigade_Museum	Other	measle_white	0.0	0.0	Leicestershire
Leicester Guildhall	Leicester_Guildhall	Local	small_purple	52.6346944444	-1.13769444444	Leicestershire
Leicester Royal Infirmary Museum	Leicester_Royal_Infirmary_Museum	Other	measle_white	0.0	0.0	Leicestershire
Loughborough Carillon &amp; War Memorial	Loughborough_Carillon	Other	measle_white	52.7694222222	-1.21046111111	Leicestershire
Loughborough Central Station	Loughborough_Central_railway_station	Transport	small_yellow	52.7686	-1.1959	Leicestershire
Lutterworth Museum	Lutterworth_Museum	Local	small_purple	0.0	0.0	Leicestershire
Measham Museum	Measham_Museum	Local	small_purple	0.0	0.0	Leicestershire
Melton Carnegie Museum	Melton_Carnegie_Museum	Local	small_purple	52.7646416667	-0.880977777778	Leicestershire
Moira Furnace	Moira_Furnace	Industrial	measle_turquoise	52.7329769	-1.5358919	Leicestershire
National Gas Museum Leicester	National_Gas_Museum_Leicester	Industrial	measle_turquoise	0.0	0.0	Leicestershire
National Space Centre	National_Space_Centre	Other	measle_white	52.6543139	-1.1324064	Leicestershire
New Walk Museum and Art Gallery	New_Walk_Museum	Multiple	small_red	52.6292	-1.1278	Leicestershire
Newarke Houses Museum	Newarke_Houses_Museum	Multiple	small_red	52.631621	-1.139193	Leicestershire
Old Rectory Museum	Old_Rectory_Museum	Local	small_purple	0.0	0.0	Leicestershire
Rockingham Castle	Rockingham_Castle	Historic	small_green	52.5129	-0.724	Leicestershire
Shackerstone Railwayana Museum	Shackerstone_railway_station	Transport	small_yellow	52.6555	-1.4413	Leicestershire
Sir John Moore Heritage Centre	Sir_John_Moore_Heritage_Centre	Other	measle_white	0.0	0.0	Leicestershire
Snibston Discovery Museum	Snibston	Multiple	small_red	52.7258944444	-1.383275	Leicestershire
Stanford Hall	Stanford_Hall,_Leicestershire	Historic	small_green	52.4086111111	-1.13861111111	Leicestershire
Stonehouse Family Farm &amp; Museum	Stonehouse_Family_Farm_&_Museum	Multiple	small_red	0.0	0.0	Leicestershire
Swannington Hough Mill	Swannington_Hough_Mill	Industrial	measle_turquoise	0.0	0.0	Leicestershire
Wigston Framework Knitters Museum	Wigston_Framework_Knitters_Museum	Industrial	measle_turquoise	0.0	0.0	Leicestershire
William Carey Museum	William_Carey_Museum	Local	small_purple	0.0	0.0	Leicestershire
