name	link	type	icon	lat	lng	county
Arnolfini	Arnolfini	Arts	small_blue	51.4492	-2.5972	Bristol
Ashton Court	Ashton_Court	Historic	small_green	51.4479	-2.6446	Bristol
At-Bristol	At-Bristol	Other	measle_white	51.45085	-2.59861	Bristol
Blaise Castle House Museum	Blaise_Castle	Multiple	small_red	51.504	-2.632	Bristol
Bristol City Museum and Art Gallery	Bristol_City_Museum_and_Art_Gallery	Multiple	small_red	51.4561	-2.6053	Bristol
Create Centre	B_Bond_Warehouse	Local	small_purple	51.446186	-2.619482	Bristol
Müller House Museum	George_Müller#The_George_Müller_Charitable_Trust	Local	small_purple	0.0	0.0	Bristol
Georgian House	Georgian_House,_Bristol	Historic	small_green	51.4526	-2.6044	Bristol
Glenside Hospital Museum	Glenside_Museum	Other	measle_white	51.4849	-2.543	Bristol
Kings Weston Roman Villa	Kings_Weston_Roman_Villa	Historic	small_green	51.49727	-2.66724	Bristol
M Shed	M_Shed	Multiple	small_red	51.4473	-2.5986	Bristol
New Room	New_Room,_Bristol	Other	measle_white	51.4572	-2.5886	Bristol
Red Lodge Museum	Red_Lodge_Museum,_Bristol	Historic	small_green	51.455556	-2.599583	Bristol
Royal West of England Academy	Royal_West_of_England_Academy	Arts	small_blue	51.4581	-2.6084	Bristol
SS Great Britain	SS_Great_Britain	Transport	small_yellow	51.4492	-2.6084	Bristol
Bristol Industrial Museum	Bristol_Industrial_Museum	Industrial	measle_turquoise	51.44726	-2.59856	Bristol
British Empire and Commonwealth Museum	British_Empire_and_Commonwealth_Museum	Other	measle_white	51.4489	-2.5835	Bristol
Antony House	Antony_House	Historic	small_green	50.37036	-4.25268	Cornwall
Barbara Hepworth Museum	Barbara_Hepworth_Museum	Arts	small_blue	50.2136111111	-5.48138888889	Cornwall
Bodmin Jail	Bodmin_Jail	Local	small_purple	50.4747972222	-4.72809166667	Cornwall
Bodmin Town Museum	Bodmin_Town_Museum	Local	small_purple	0.0	0.0	Cornwall
Bude-Stratton Museum	Bude-Stratton_Museum	Local	small_purple	0.0	0.0	Cornwall
Callington Heritage Centre	Callington_Heritage_Centre	Local	small_purple	0.0	0.0	Cornwall
Camborne School of Mines Museum	Camborne_School_of_Mines#Camborne_School_of_Mines_Museum	Industrial	measle_turquoise	50.16867	-5.11708	Cornwall
Charlestown Shipwreck &amp; Heritage Centre	Charlestown_Shipwreck_&_Heritage_Centre	Transport	small_yellow	0.0	0.0	Cornwall
Constantine Heritage Centre	Constantine_Heritage_Centre	Local	small_purple	0.0	0.0	Cornwall
Cornish Mines and Engines	Cornish_Mines_and_Engines	Industrial	measle_turquoise	50.231	-5.263	Cornwall
Cotehele	Cotehele	Historic	small_green	50.4959	-4.2257	Cornwall
Davidstow Airfield Cornwall at War Museum	RAF_Davidstow_Moor	Other	measle_white	50.63526	-4.61748	Cornwall
Duke of Cornwall's Light Infantry Museum	Duke_of_Cornwall's_Light_Infantry	Other	measle_white	0.0	0.0	Cornwall
Elliott's Shop	Elliott's_Shop	Historic	small_green	0.0	0.0	Cornwall
The Exchange	Newlyn_Art_Gallery	Arts	small_blue	50.102	-5.551	Cornwall
Falmouth Art Gallery	Falmouth_Art_Gallery	Arts	small_blue	50.1557	-5.0724	Cornwall
Flambards Experience	The_Flambards_Experience	Multiple	small_red	50.092	-5.258	Cornwall
Fowey Museum	Fowey_Museum	Local	small_purple	0.0	0.0	Cornwall
Geevor Tin Mine	Geevor_Tin_Mine	Industrial	measle_turquoise	50.1525	-5.67583333333	Cornwall
Gerrans Parish Heritage Centre	Gerrans_Parish_Heritage_Centre	Local	small_purple	0.0	0.0	Cornwall
Godolphin Estate	Godolphin_Estate	Historic	small_green	50.135	-5.35	Cornwall
Grampound with Creed Heritage Centre	Grampound_with_Creed_Heritage_Centre	Local	small_purple	0.0	0.0	Cornwall
Helston Folk Museum	Helston_Folk_Museum	Local	small_purple	50.107	-5.272	Cornwall
Jamaica Inn	Jamaica_Inn	Multiple	small_red	50.5622222222	-4.56694444444	Cornwall
John Betjeman Centre	John_Betjeman_Centre	Local	small_purple	0.0	0.0	Cornwall
King Edward Mining Museum	King_Edward_Mine	Industrial	measle_turquoise	50.204	-5.271	Cornwall
Lanhydrock	Lanhydrock	Historic	small_green	50.4411	-4.6981	Cornwall
Launceston Steam Railway	Launceston_Steam_Railway	Transport	small_yellow	50.641	-4.365	Cornwall
Lawrence House	Lawrence_House,_Cornwall	Local	small_purple	50.63822	-4.36245	Cornwall
Leach Pottery	Leach_Pottery	Arts	small_blue	0.0	0.0	Cornwall
Levant Mine and Beam Engine	Levant_Mine_and_Beam_Engine	Industrial	measle_turquoise	50.1521	-5.6855	Cornwall
Liskeard and District Museum	Liskeard_and_District_Museum	Local	small_purple	0.0	0.0	Cornwall
Lizard Lighthouse Heritage Centre	Lizard_Lighthouse	Transport	small_yellow	49.9661111111	-5.20194444444	Cornwall
Looe Museum	Looe_Museum	Local	small_purple	0.0	0.0	Cornwall
Lostwithiel Museum	Lostwithiel_Museum	Local	small_purple	0.0	0.0	Cornwall
Marazion Museum	Marazion_Museum	Local	small_purple	0.0	0.0	Cornwall
Mary Newman's Cottage	Mary_Newman's_Cottage	Historic	small_green	0.0	0.0	Cornwall
Mevagissey Museum	Mevagissey_Museum	Local	small_purple	0.0	0.0	Cornwall
Mount Edgcumbe House	Mount_Edgcumbe_House	Historic	small_green	50.3544444444	-4.17638888889	Cornwall
Museum of Witchcraft	Museum_of_Witchcraft	Other	measle_white	50.689	-4.692	Cornwall
National Maritime Museum Cornwall	National_Maritime_Museum_Cornwall	Transport	small_yellow	50.1513888889	-5.07	Cornwall
Newlyn Art Gallery	Newlyn_Art_Gallery	Arts	small_blue	50.102	-5.551	Cornwall
North Cornwall Museum and Art Gallery	North_Cornwall_Museum_and_Art_Gallery	Multiple	small_red	50.62081	-4.68105	Cornwall
Padstow Museum	Padstow_Museum	Local	small_purple	0.0	0.0	Cornwall
Pencarrow	Pencarrow	Historic	small_green	50.505288	-4.765751	Cornwall
Pendennis Castle	Pendennis_Castle	Other	measle_white	50.1472222222	-5.04777777778	Cornwall
Penlee House	Penlee_House	Arts	small_blue	50.1165	-5.5398	Cornwall
Penryn Museum	Penryn_Museum	Local	small_purple	0.0	0.0	Cornwall
Perranzabuloe Museum	Perranzabuloe_Museum	Local	small_purple	0.0	0.0	Cornwall
Poldark Mine	Poldark_Mine	Industrial	measle_turquoise	50.138	-5.244	Cornwall
Polperro Heritage Museum of Smuggling &amp; Fishing	Polperro_Heritage_Museum_of_Smuggling_&_Fishing	Transport	small_yellow	0.0	0.0	Cornwall
Port Eliot	Port_Eliot	Historic	small_green	50.3972222222	-4.30916666667	Cornwall
Porthcurno Telegraph Museum	Porthcurno_Telegraph_Museum	Other	measle_white	50.043	-5.654	Cornwall
Prideaux Place	Prideaux_Place	Historic	small_green	50.5427	-4.9459	Cornwall
Redruth Old Cornwall Society Museum	Redruth_Old_Cornwall_Society_Museum	Local	small_purple	0.0	0.0	Cornwall
